timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-10T16:44:59.081973,ASCENT,9.1,-0.87,0.02,-0.45,0.25,90.66,0.0,0.0
2026-01-10T16:44:59.132587,ASCENT,9.13,-0.86,0.03,-0.44,0.24,90.65,0.0,0.0
2026-01-10T16:44:59.183315,ASCENT,9.18,-0.83,0.03,-0.36,0.28,90.65,0.0,0.0
2026-01-10T16:44:59.234375,ASCENT,9.26,-1.75,0.04,-0.09,0.86,89.91,0.0,0.0
2026-01-10T16:44:59.285323,ASCENT,9.35,-2.4,0.06,0.18,1.87,87.27,0.0,0.0
2026-01-10T16:44:59.336302,ASCENT,9.5,-3.23,0.09,0.2,2.17,82.85,0.0,0.0
2026-01-10T16:44:59.387262,ASCENT,9.68,-3.92,0.12,0.4,1.83,77.39,0.0,0.0
2026-01-10T16:44:59.438208,ASCENT,9.92,-4.58,0.14,0.69,1.18,70.43,0.0,0.0
2026-01-10T16:44:59.489271,ASCENT,10.11,-4.91,0.14,1.14,0.47,62.22,0.0,0.0
2026-01-10T16:44:59.539574,ASCENT,10.4,-5.38,0.13,1.69,-0.19,53.42,0.0,0.0
2026-01-10T16:44:59.590525,ASCENT,10.65,-5.66,0.1,1.96,-1.66,43.63,0.0,0.0
2026-01-10T16:44:59.641290,ASCENT,10.96,-5.8,0.05,1.92,-2.64,37.46,0.0,0.0
2026-01-10T16:44:59.691950,ASCENT,11.18,-5.85,0.04,1.31,-3.11,32.04,0.0,0.0
2026-01-10T16:44:59.742721,ASCENT,11.5,-5.89,0.06,0.47,-2.91,29.27,0.0,0.0
2026-01-10T16:44:59.793152,ASCENT,11.86,-5.91,0.08,-0.63,-2.15,26.97,0.0,0.0
2026-01-10T16:44:59.843552,ASCENT,12.08,-5.92,0.09,-1.46,-1.14,25.07,0.0,0.0
2026-01-10T16:44:59.894286,ASCENT,12.4,-5.94,0.09,-1.96,0.2,22.53,0.0,0.0
2026-01-10T16:44:59.944484,ASCENT,12.63,-5.95,0.08,-1.95,1.14,20.25,0.0,0.0
2026-01-10T16:44:59.995375,ASCENT,13.0,-5.97,0.06,-1.5,1.91,17.44,0.0,0.0
2026-01-10T16:45:00.047139,ASCENT,13.23,-5.98,0.04,-0.73,2.13,14.92,0.0,0.0
2026-01-10T16:45:00.097887,ASCENT,13.55,-5.98,0.02,0.36,1.74,12.25,0.0,0.0
2026-01-10T16:45:00.149036,ASCENT,13.79,-5.98,0.02,1.03,1.2,10.83,0.0,0.0
2026-01-10T16:45:00.199852,ASCENT,14.16,-5.98,0.01,1.59,0.25,9.24,0.0,0.0
