timestamp,altitude_m,v_down_m_s
2025-12-19T17:12:46.874149,41.1,-0.02
2025-12-19T17:12:46.925033,41.11,-0.02
2025-12-19T17:12:46.976125,41.1,0.28
2025-12-19T17:12:47.027216,41.09,0.6
2025-12-19T17:12:47.078545,41.04,1.14
2025-12-19T17:12:47.130484,40.96,1.63
2025-12-19T17:12:47.182371,40.89,1.98
2025-12-19T17:12:47.233433,40.75,2.5
2025-12-19T17:12:47.285322,40.64,2.8
2025-12-19T17:12:47.336340,40.48,3.22
2025-12-19T17:12:47.387859,40.34,3.52
2025-12-19T17:12:47.439334,40.12,4.0
2025-12-19T17:12:47.490181,39.89,4.44
2025-12-19T17:12:47.542217,39.72,4.76
2025-12-19T17:12:47.593218,39.45,5.2
2025-12-19T17:12:47.644381,39.25,5.52
2025-12-19T17:12:47.695495,38.9,6.04
2025-12-19T17:12:47.747330,38.66,6.36
2025-12-19T17:12:47.798254,38.3,6.79
2025-12-19T17:12:47.849736,37.88,7.16
2025-12-19T17:12:47.902545,37.61,7.32
2025-12-19T17:12:47.954151,37.15,7.48
2025-12-19T17:12:48.005554,36.92,7.52
2025-12-19T17:12:48.056625,36.46,7.58
2025-12-19T17:12:48.107834,36.18,7.61
2025-12-19T17:12:48.158603,35.77,7.66
2025-12-19T17:12:48.210513,35.29,7.7
2025-12-19T17:12:48.263236,35.0,7.72
2025-12-19T17:12:48.314187,34.58,7.74
2025-12-19T17:12:48.365154,34.22,7.76
2025-12-19T17:12:48.416060,33.8,7.77
2025-12-19T17:12:48.467846,33.5,7.78
2025-12-19T17:12:48.519298,33.01,7.8
2025-12-19T17:12:48.570245,32.58,7.81
2025-12-19T17:12:48.620936,32.28,7.82
2025-12-19T17:12:48.672239,31.78,7.82
2025-12-19T17:12:48.723767,31.47,7.83
2025-12-19T17:12:48.774692,31.04,7.83
2025-12-19T17:12:48.825818,30.73,7.83
2025-12-19T17:12:48.876923,30.3,7.84
2025-12-19T17:12:48.928507,29.93,7.84
2025-12-19T17:12:48.980626,29.49,7.84
2025-12-19T17:12:49.031907,29.06,7.84
2025-12-19T17:12:49.083194,28.69,7.84
2025-12-19T17:12:49.133847,28.25,7.84
2025-12-19T17:12:49.184750,27.94,7.84
2025-12-19T17:12:49.235620,27.51,7.84
2025-12-19T17:12:49.288285,27.14,7.84
2025-12-19T17:12:49.339417,26.7,7.77
2025-12-19T17:12:49.390336,26.27,7.64
2025-12-19T17:12:49.441257,25.97,7.53
2025-12-19T17:12:49.492617,25.5,7.31
2025-12-19T17:12:49.543954,25.21,7.18
2025-12-19T17:12:49.595065,24.82,6.99
2025-12-19T17:12:49.646751,24.54,6.86
2025-12-19T17:12:49.697924,24.11,6.67
2025-12-19T17:12:49.748936,23.85,6.55
2025-12-19T17:12:49.799761,23.48,6.38
2025-12-19T17:12:49.850715,23.08,6.19
2025-12-19T17:12:49.901662,22.83,6.07
2025-12-19T17:12:49.952971,22.45,5.88
2025-12-19T17:12:50.004446,22.26,5.79
2025-12-19T17:12:50.056219,21.89,5.6
2025-12-19T17:12:50.107663,21.67,5.5
2025-12-19T17:12:50.158769,21.36,5.36
2025-12-19T17:12:50.210534,21.15,5.27
2025-12-19T17:12:50.262412,20.81,5.12
2025-12-19T17:12:50.314061,20.52,4.99
2025-12-19T17:12:50.365979,20.28,4.87
2025-12-19T17:12:50.417298,20.0,4.73
2025-12-19T17:12:50.468516,19.81,4.63
2025-12-19T17:12:50.520992,19.51,4.49
2025-12-19T17:12:50.571764,19.25,4.38
2025-12-19T17:12:50.622648,19.08,4.3
2025-12-19T17:12:50.673879,18.8,4.16
2025-12-19T17:12:50.724731,18.66,4.1
2025-12-19T17:12:50.775624,18.39,3.96
2025-12-19T17:12:50.826654,18.23,3.89
2025-12-19T17:12:50.878193,18.01,3.79
2025-12-19T17:12:50.930224,17.85,3.72
2025-12-19T17:12:50.981845,17.61,3.61
2025-12-19T17:12:51.033231,17.37,3.51
2025-12-19T17:12:51.086045,17.23,3.45
2025-12-19T17:12:51.136950,17.03,3.35
2025-12-19T17:12:51.188413,16.89,3.28
2025-12-19T17:12:51.239511,16.7,3.19
2025-12-19T17:12:51.290880,16.55,3.13
2025-12-19T17:12:51.342454,16.37,3.07
2025-12-19T17:12:51.393192,16.2,3.02
2025-12-19T17:12:51.444904,16.07,2.98
2025-12-19T17:12:51.495987,15.87,2.91
2025-12-19T17:12:51.547571,15.75,2.87
2025-12-19T17:12:51.598904,15.56,2.81
2025-12-19T17:12:51.650358,15.47,2.78
2025-12-19T17:12:51.701794,15.28,2.72
2025-12-19T17:12:51.753361,15.12,2.66
2025-12-19T17:12:51.805226,14.99,2.61
2025-12-19T17:12:51.856054,14.84,2.55
2025-12-19T17:12:51.907568,14.73,2.51
2025-12-19T17:12:51.958643,14.56,2.45
2025-12-19T17:12:52.009715,14.48,2.42
2025-12-19T17:12:52.060682,14.32,2.37
2025-12-19T17:12:52.111473,14.18,2.32
2025-12-19T17:12:52.162854,14.08,2.28
2025-12-19T17:12:52.214452,13.93,2.22
2025-12-19T17:12:52.265547,13.83,2.19
2025-12-19T17:12:52.316311,13.68,2.13
2025-12-19T17:12:52.367370,13.59,2.09
2025-12-19T17:12:52.418147,13.47,2.05
2025-12-19T17:12:52.469987,13.38,2.01
2025-12-19T17:12:52.521672,13.27,1.97
2025-12-19T17:12:52.572694,13.14,1.93
2025-12-19T17:12:52.624387,13.06,1.9
2025-12-19T17:12:52.675840,12.93,1.85
2025-12-19T17:12:52.726872,12.86,1.83
2025-12-19T17:12:52.777925,12.74,1.79
2025-12-19T17:12:52.830647,12.67,1.76
2025-12-19T17:12:52.881911,12.54,1.72
2025-12-19T17:12:52.933007,12.44,1.68
2025-12-19T17:12:52.984517,12.37,1.66
2025-12-19T17:12:53.036288,12.27,1.61
2025-12-19T17:12:53.087092,12.2,1.58
2025-12-19T17:12:53.138188,12.09,1.54
2025-12-19T17:12:53.189632,12.02,1.51
2025-12-19T17:12:53.242133,11.93,1.46
2025-12-19T17:12:53.293230,11.83,1.42
2025-12-19T17:12:53.346019,11.77,1.39
2025-12-19T17:12:53.397159,11.67,1.34
2025-12-19T17:12:53.448993,11.61,1.31
2025-12-19T17:12:53.499703,11.53,1.27
2025-12-19T17:12:53.550824,11.47,1.25
2025-12-19T17:12:53.601680,11.4,1.21
2025-12-19T17:12:53.652935,11.31,1.17
2025-12-19T17:12:53.703557,11.26,1.15
2025-12-19T17:12:53.754299,11.18,1.11
2025-12-19T17:12:53.806032,11.13,1.09
2025-12-19T17:12:53.857187,11.07,1.05
2025-12-19T17:12:53.908896,11.02,1.03
2025-12-19T17:12:53.960144,10.95,1.0
2025-12-19T17:12:54.011151,10.92,0.99
2025-12-19T17:12:54.062283,10.85,0.96
2025-12-19T17:12:54.113849,10.79,0.94
2025-12-19T17:12:54.165962,10.75,0.93
2025-12-19T17:12:54.216700,10.68,0.9
2025-12-19T17:12:54.267718,10.64,0.89
2025-12-19T17:12:54.318622,10.58,0.87
2025-12-19T17:12:54.370931,10.54,0.85
2025-12-19T17:12:54.421788,10.48,0.83
2025-12-19T17:12:54.473689,10.42,0.81
2025-12-19T17:12:54.526130,10.39,0.8
2025-12-19T17:12:54.577838,10.33,0.78
2025-12-19T17:12:54.628939,10.3,0.78
2025-12-19T17:12:54.679839,10.24,0.77
2025-12-19T17:12:54.731403,10.2,0.77
2025-12-19T17:12:54.782474,10.16,0.76
2025-12-19T17:12:54.834008,10.1,0.77
2025-12-19T17:12:54.885957,10.07,0.77
2025-12-19T17:12:54.937043,10.01,0.77
2025-12-19T17:12:54.988753,9.98,0.77
2025-12-19T17:12:55.039784,9.93,0.78
2025-12-19T17:12:55.090894,9.9,0.78
2025-12-19T17:12:55.141693,9.84,0.79
2025-12-19T17:12:55.192858,9.8,0.79
2025-12-19T17:12:55.243659,9.76,0.79
2025-12-19T17:12:55.295392,9.7,0.8
2025-12-19T17:12:55.347085,9.67,0.8
2025-12-19T17:12:55.398463,9.62,0.81
2025-12-19T17:12:55.451126,9.58,0.81
2025-12-19T17:12:55.502268,9.52,0.82
2025-12-19T17:12:55.554084,9.47,0.82
2025-12-19T17:12:55.606666,9.44,0.82
2025-12-19T17:12:55.658774,9.38,0.83
2025-12-19T17:12:55.710912,9.34,0.83
2025-12-19T17:12:55.761873,9.29,0.83
2025-12-19T17:12:55.813039,9.23,0.84
2025-12-19T17:12:55.864360,9.2,0.84
2025-12-19T17:12:55.915790,9.15,0.84
2025-12-19T17:12:55.967101,9.11,0.85
