timestamp,phase,altitude_m,vn_m_s,ve_m_s,vd_m_s,climb_rate_m_s,climb_rate_avg_m_s,dist_to_target_m,hit_flag,abort_reason
2026-02-11T17:28:04.630162,TAKEOFF,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:04.731194,TAKEOFF,-0.001,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:04.831743,TAKEOFF,-0.001,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:04.932899,TAKEOFF,-0.003,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.033795,TAKEOFF,-0.004,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.134916,TAKEOFF,-0.004,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.235166,TAKEOFF,-0.004,0.02,0.02,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.335998,TAKEOFF,-0.005,0.01,0.01,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.437465,TAKEOFF,-0.007,0.02,0.01,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.538762,TAKEOFF,-0.008,0.02,0.01,0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:05.639595,TAKEOFF,-0.009,0.02,0.01,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:05.740766,TAKEOFF,-0.01,0.01,0.01,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:05.841912,TAKEOFF,-0.001,0.02,0.0,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:05.942498,TAKEOFF,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:06.042903,TAKEOFF,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:06.143591,TAKEOFF,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:06.243903,TAKEOFF,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:06.344778,TAKEOFF,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0,
2026-02-11T17:28:06.445729,TAKEOFF,0.001,0.02,0.0,-0.03,0.0,0.0,0.0,0,
2026-02-11T17:28:06.546147,TAKEOFF,0.019,0.02,0.0,-0.3,0.0,0.0,0.0,0,
2026-02-11T17:28:06.647173,TAKEOFF,0.066,0.02,0.01,-0.65,0.0,0.0,0.0,0,
2026-02-11T17:28:06.749351,TAKEOFF,0.155,0.01,0.01,-1.06,0.0,0.0,0.0,0,
2026-02-11T17:28:06.850004,TAKEOFF,0.275,0.01,0.02,-1.45,0.0,0.0,0.0,0,
2026-02-11T17:28:06.950491,TAKEOFF,0.448,0.01,0.02,-1.86,0.0,0.0,0.0,0,
2026-02-11T17:28:07.051356,TAKEOFF,0.644,0.01,0.02,-2.2,0.0,0.0,0.0,0,
2026-02-11T17:28:07.151671,TAKEOFF,0.881,0.01,0.02,-2.53,0.0,0.0,0.0,0,
2026-02-11T17:28:07.252594,TAKEOFF,1.13,0.01,0.02,-2.8,0.0,0.0,0.0,0,
2026-02-11T17:28:07.353845,TAKEOFF,1.429,0.01,0.01,-3.05,0.0,0.0,0.0,0,
2026-02-11T17:28:07.454488,TAKEOFF,1.728,0.01,0.01,-3.24,0.0,0.0,0.0,0,
2026-02-11T17:28:07.554794,TAKEOFF,2.062,0.01,0.01,-3.4,0.0,0.0,0.0,0,
2026-02-11T17:28:07.655737,TAKEOFF,2.388,0.01,0.0,-3.52,0.0,0.0,0.0,0,
2026-02-11T17:28:07.756646,TAKEOFF,2.755,0.01,0.0,-3.61,0.0,0.0,0.0,0,
2026-02-11T17:28:07.857881,TAKEOFF,3.101,0.01,0.0,-3.66,0.0,0.0,0.0,0,
2026-02-11T17:28:07.958771,TAKEOFF,3.473,0.01,-0.01,-3.67,0.0,0.0,0.0,0,
2026-02-11T17:28:08.059795,TAKEOFF,3.819,0.01,-0.01,-3.65,0.0,0.0,0.0,0,
2026-02-11T17:28:08.160545,TAKEOFF,4.249,0.01,-0.02,-3.58,0.0,0.0,0.0,0,
2026-02-11T17:28:08.261012,TAKEOFF,4.614,0.0,-0.02,-3.5,0.0,0.0,0.0,0,
2026-02-11T17:28:08.361890,TAKEOFF,4.938,0.0,-0.02,-3.34,0.0,0.0,0.0,0,
2026-02-11T17:28:08.462822,TAKEOFF,5.274,0.0,-0.02,-3.16,0.0,0.0,0.0,0,
2026-02-11T17:28:08.563849,TAKEOFF,5.568,0.0,-0.02,-2.96,0.0,0.0,0.0,0,
2026-02-11T17:28:08.664414,TAKEOFF,5.864,0.01,-0.02,-2.71,0.0,0.0,0.0,0,
2026-02-11T17:28:08.764928,TAKEOFF,6.105,0.01,-0.02,-2.25,0.0,0.0,0.0,0,
2026-02-11T17:28:08.865590,TAKEOFF,6.323,0.01,-0.01,-1.91,0.0,0.0,0.0,0,
2026-02-11T17:28:08.966076,TAKEOFF,6.5,0.01,-0.01,-1.74,0.0,0.0,0.0,0,
2026-02-11T17:28:09.067069,TAKEOFF,6.678,0.01,0.0,-1.61,0.0,0.0,0.0,0,
2026-02-11T17:28:09.167965,TAKEOFF,6.839,0.01,0.0,-1.52,0.0,0.0,0.0,0,
2026-02-11T17:28:09.268278,TAKEOFF,7.001,0.01,0.0,-1.44,0.0,0.0,0.0,0,
2026-02-11T17:28:09.369493,TAKEOFF,7.143,0.01,0.0,-1.38,0.0,0.0,0.0,0,
2026-02-11T17:28:09.470112,TAKEOFF,7.29,0.01,0.0,-1.32,0.0,0.0,0.0,0,
2026-02-11T17:28:09.570731,TAKEOFF,7.422,0.01,0.0,-1.27,0.0,0.0,0.0,0,
2026-02-11T17:28:09.672856,TAKEOFF,7.558,0.0,0.0,-1.21,0.0,0.0,0.0,0,
