timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m
2026-01-20T13:40:00.378659,CLIMB,0.0,0.0,0.03,0.18,0.09,90.58,0.0,0.0
2026-01-20T13:40:00.478775,CLIMB,0.0,0.0,0.03,0.16,0.1,90.58,0.0,0.0
2026-01-20T13:40:00.579676,CLIMB,0.0,0.0,0.03,0.16,0.13,90.56,0.0,0.0
2026-01-20T13:40:00.680604,CLIMB,0.0,0.0,0.03,0.13,0.13,90.58,0.0,0.0
2026-01-20T13:40:00.781759,CLIMB,0.0,0.0,0.03,0.13,0.12,90.58,0.0,0.0
2026-01-20T13:40:00.882133,CLIMB,0.0,0.0,0.03,0.14,0.09,90.57,0.0,0.0
2026-01-20T13:40:00.982339,CLIMB,0.0,0.0,0.03,0.15,0.11,90.56,0.0,0.0
2026-01-20T13:40:01.083256,CLIMB,0.0,0.0,0.03,0.17,0.11,90.6,0.0,0.0
2026-01-20T13:40:01.184261,CLIMB,0.0,0.0,0.02,0.14,0.09,90.59,0.0,0.0
2026-01-20T13:40:01.284716,CLIMB,0.0,0.0,0.02,0.13,0.08,90.58,0.0,0.0
2026-01-20T13:40:01.385537,CLIMB,-0.0,0.0,0.24,0.11,0.07,90.59,0.0,0.0
2026-01-20T13:40:01.485788,CLIMB,-0.0,0.0,0.72,0.09,0.1,90.57,0.0,0.0
2026-01-20T13:40:01.586782,CLIMB,-0.0,0.0,1.56,0.09,0.12,90.58,0.0,0.0
2026-01-20T13:40:01.687638,CLIMB,0.0,-0.01,2.64,0.08,0.1,90.6,0.0,0.0
2026-01-20T13:40:01.788775,CLIMB,0.0,-0.01,4.16,0.07,0.14,90.61,0.0,0.0
2026-01-20T13:40:01.889640,CLIMB,0.0,-0.08,5.89,0.12,-0.26,91.48,0.0,0.0
2026-01-20T13:40:01.990556,CLIMB,0.02,-0.1,7.9,0.13,-1.42,93.36,0.0,0.0
2026-01-20T13:40:02.091637,CLIMB,0.03,-0.11,9.92,0.18,-1.95,95.4,0.0,0.0
2026-01-20T13:40:02.191727,CLIMB,0.04,-0.15,11.66,0.25,-2.02,95.52,0.0,0.0
2026-01-20T13:40:02.292724,CLIMB,0.07,-0.24,13.16,0.33,-1.8,94.74,0.0,0.0
2026-01-20T13:40:02.393894,CLIMB,0.12,-0.33,14.64,0.39,-1.57,93.63,0.0,0.0
2026-01-20T13:40:02.494197,CLIMB,0.17,-0.42,15.9,0.4,-1.5,92.36,0.0,0.0
2026-01-20T13:40:02.595254,CLIMB,0.22,-0.48,16.8,0.39,-1.48,91.19,0.0,0.0
2026-01-20T13:40:02.696178,CLIMB,0.26,-0.53,17.45,0.39,-1.29,90.02,0.0,0.0
2026-01-20T13:40:02.797265,CLIMB,0.32,-0.58,18.2,0.35,-1.05,89.47,0.0,0.0
2026-01-20T13:40:02.898311,CLIMB,0.37,-0.63,18.99,0.34,-0.87,89.06,0.0,0.0
2026-01-20T13:40:02.999407,CLIMB,0.42,-0.67,19.84,0.32,-0.75,89.06,0.0,0.0
2026-01-20T13:40:03.100144,CLIMB,0.46,-0.89,20.63,0.29,-0.34,89.44,0.0,0.0
