timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m
2026-01-20T13:38:03.071411,CLIMB,9.83,0.0,15.47,16.69,-2.81,136.47,0.0,0.0
2026-01-20T13:38:03.172432,CLIMB,9.83,0.0,15.46,16.89,-2.84,137.64,0.0,0.0
2026-01-20T13:38:03.272958,CLIMB,9.83,-0.02,15.47,17.28,-2.77,139.06,0.0,0.0
2026-01-20T13:38:03.373713,CLIMB,9.84,-0.1,15.48,17.64,-2.53,140.59,0.0,0.0
2026-01-20T13:38:03.474872,CLIMB,9.86,-0.22,15.48,18.01,-2.05,142.09,0.0,0.0
2026-01-20T13:38:03.575788,CLIMB,9.89,-0.39,15.49,18.34,-1.46,143.52,0.0,0.0
2026-01-20T13:38:03.676856,CLIMB,9.94,-0.57,15.49,18.69,-0.76,144.93,0.0,0.0
2026-01-20T13:38:03.777770,CLIMB,10.0,-0.71,15.49,19.03,-0.23,146.23,0.0,0.0
2026-01-20T13:38:03.878933,CLIMB,10.08,-0.82,15.5,19.39,0.23,147.64,0.0,0.0
2026-01-20T13:38:03.979149,CLIMB,10.16,-0.92,15.49,19.78,0.57,149.11,0.0,0.0
2026-01-20T13:38:04.079784,CLIMB,10.25,-1.0,15.49,20.18,0.89,150.68,0.0,0.0
2026-01-20T13:38:04.180655,CLIMB,10.36,-1.08,15.48,20.59,1.14,152.21,0.0,0.0
2026-01-20T13:38:04.280894,CLIMB,10.46,-1.16,15.47,21.03,1.37,153.79,0.0,0.0
2026-01-20T13:38:04.381670,CLIMB,10.59,-1.23,15.45,21.46,1.6,155.43,0.0,0.0
2026-01-20T13:38:04.482629,CLIMB,10.71,-1.29,15.44,21.86,1.82,156.94,0.0,0.0
2026-01-20T13:38:04.583095,CLIMB,10.84,-1.35,15.43,22.29,2.0,158.57,0.0,0.0
2026-01-20T13:38:04.683605,CLIMB,11.01,-1.42,15.42,22.74,2.2,160.26,0.0,0.0
2026-01-20T13:38:04.784623,CLIMB,11.15,-1.46,15.41,23.17,2.35,161.87,0.0,0.0
2026-01-20T13:38:04.884985,CLIMB,11.3,-1.51,15.39,23.63,2.51,163.56,0.0,0.0
2026-01-20T13:38:04.985776,CLIMB,11.45,-1.56,15.38,24.11,2.66,165.36,0.0,0.0
2026-01-20T13:38:05.086612,CLIMB,11.61,-1.59,15.37,24.55,2.79,167.07,0.0,0.0
2026-01-20T13:38:05.186801,CLIMB,11.76,-1.63,15.35,25.02,2.91,168.86,0.0,0.0
2026-01-20T13:38:05.287697,CLIMB,11.94,-1.67,15.34,25.51,3.03,170.69,0.0,0.0
2026-01-20T13:38:05.388708,CLIMB,12.1,-1.7,15.33,25.96,3.15,172.59,0.0,0.0
2026-01-20T13:38:05.489784,CLIMB,12.27,-1.73,15.32,26.44,3.29,174.4,0.0,0.0
2026-01-20T13:38:05.590796,CLIMB,12.44,-1.76,15.3,26.88,3.4,176.32,0.0,0.0
2026-01-20T13:38:05.691794,CLIMB,12.62,-1.79,15.29,27.41,3.53,178.51,0.0,0.0
2026-01-20T13:38:05.792972,CLIMB,12.8,-1.81,15.27,27.86,3.63,-179.48,0.0,0.0
2026-01-20T13:38:05.893742,CLIMB,12.99,-1.84,15.26,28.32,3.73,-177.47,0.0,0.0
2026-01-20T13:38:05.994859,CLIMB,13.16,-1.86,15.25,28.78,3.85,-175.42,0.0,0.0
2026-01-20T13:38:06.095674,CLIMB,13.36,-1.89,15.25,29.26,3.91,-173.31,0.0,0.0
2026-01-20T13:38:06.195839,CLIMB,13.54,-1.91,15.24,29.71,4.0,-171.19,0.0,0.0
2026-01-20T13:38:06.296926,CLIMB,13.74,-1.94,15.23,30.12,4.1,-169.04,0.0,0.0
2026-01-20T13:38:06.397840,CLIMB,13.93,-1.97,15.22,30.54,4.21,-166.86,0.0,0.0
2026-01-20T13:38:06.498979,CLIMB,14.14,-2.0,15.21,30.92,4.3,-164.67,0.0,0.0
2026-01-20T13:38:06.599731,CLIMB,14.33,-2.02,15.2,31.31,4.41,-162.27,0.0,0.0
2026-01-20T13:38:06.699857,CLIMB,14.54,-2.05,15.19,31.66,4.51,-159.91,0.0,0.0
2026-01-20T13:38:06.800134,CLIMB,14.74,-2.07,15.19,32.01,4.59,-157.61,0.0,0.0
2026-01-20T13:38:06.900287,CLIMB,14.95,-2.09,15.17,32.32,4.66,-155.38,0.0,0.0
2026-01-20T13:38:07.000428,CLIMB,15.15,-2.11,15.18,32.62,4.75,-153.04,0.0,0.0
2026-01-20T13:38:07.101346,CLIMB,15.37,-2.12,15.17,32.91,4.84,-150.7,0.0,0.0
2026-01-20T13:38:07.201652,CLIMB,15.57,-2.14,15.17,33.18,4.91,-148.33,0.0,0.0
2026-01-20T13:38:07.302632,CLIMB,15.8,-2.17,15.16,33.44,5.03,-145.9,0.0,0.0
2026-01-20T13:38:07.403198,CLIMB,16.0,-2.18,15.16,33.66,5.11,-143.49,0.0,0.0
2026-01-20T13:38:07.503837,CLIMB,16.23,-2.19,15.16,33.88,5.18,-140.99,0.0,0.0
2026-01-20T13:38:07.604578,CLIMB,16.49,-2.21,15.15,34.04,5.26,-138.66,0.0,0.0
2026-01-20T13:38:07.704809,CLIMB,16.7,-2.23,15.16,34.17,5.36,-136.21,0.0,0.0
2026-01-20T13:38:07.805951,CLIMB,16.93,-2.24,15.16,34.29,5.42,-133.77,0.0,0.0
2026-01-20T13:38:07.906929,CLIMB,17.14,-2.25,15.17,34.37,5.49,-131.36,0.0,0.0
2026-01-20T13:38:08.007757,CLIMB,17.37,-2.26,15.18,34.45,5.55,-128.9,0.0,0.0
2026-01-20T13:38:08.108793,CLIMB,17.58,-2.27,15.18,34.5,5.66,-126.34,0.0,0.0
2026-01-20T13:38:08.209765,CLIMB,17.82,-2.28,15.2,34.47,5.71,-124.03,0.0,0.0
2026-01-20T13:38:08.309961,CLIMB,18.03,-2.29,15.2,34.47,5.75,-121.62,0.0,0.0
2026-01-20T13:38:08.410879,CLIMB,18.26,-2.3,15.2,34.43,5.82,-119.08,0.0,0.0
