time,altitude_m,v_down_m_s
2025-12-19T17:18:47.601975,40.98,-0.02
2025-12-19T17:18:47.653050,40.99,-0.02
2025-12-19T17:18:47.704097,40.98,0.31
2025-12-19T17:18:47.756147,40.96,0.63
2025-12-19T17:18:47.807139,40.92,1.1
2025-12-19T17:18:47.858117,40.83,1.66
2025-12-19T17:18:47.909145,40.76,2.01
2025-12-19T17:18:47.960457,40.64,2.47
2025-12-19T17:18:48.011058,40.53,2.77
2025-12-19T17:18:48.062422,40.35,3.24
2025-12-19T17:18:48.113117,40.23,3.54
2025-12-19T17:18:48.164281,40.03,3.97
2025-12-19T17:18:48.216518,39.87,4.28
2025-12-19T17:18:48.267264,39.6,4.79
2025-12-19T17:18:48.317802,39.29,5.3
2025-12-19T17:18:48.368472,39.13,5.55
2025-12-19T17:18:48.419655,38.77,6.07
2025-12-19T17:18:48.471621,38.53,6.39
2025-12-19T17:18:48.522760,38.16,6.83
2025-12-19T17:18:48.573789,37.84,7.12
2025-12-19T17:18:48.624736,37.44,7.36
2025-12-19T17:18:48.676715,37.16,7.45
2025-12-19T17:18:48.727866,36.76,7.53
2025-12-19T17:18:48.778842,36.29,7.59
2025-12-19T17:18:48.829837,36.0,7.61
2025-12-19T17:18:48.880673,35.59,7.65
2025-12-19T17:18:48.931762,35.29,7.67
2025-12-19T17:18:48.983064,34.82,7.7
2025-12-19T17:18:49.033777,34.52,7.71
2025-12-19T17:18:49.084670,34.1,7.73
2025-12-19T17:18:49.136829,33.8,7.74
2025-12-19T17:18:49.187730,33.32,7.76
2025-12-19T17:18:49.238616,32.89,7.77
2025-12-19T17:18:49.289951,32.59,7.78
2025-12-19T17:18:49.341044,32.1,7.79
2025-12-19T17:18:49.392598,31.8,7.8
2025-12-19T17:18:49.443976,31.37,7.81
2025-12-19T17:18:49.495131,31.06,7.81
2025-12-19T17:18:49.547851,30.57,7.82
2025-12-19T17:18:49.598877,30.07,7.82
2025-12-19T17:18:49.650321,29.82,7.82
2025-12-19T17:18:49.701493,29.33,7.83
2025-12-19T17:18:49.752806,29.02,7.83
2025-12-19T17:18:49.803689,28.59,7.83
2025-12-19T17:18:49.854774,28.28,7.83
2025-12-19T17:18:49.905631,27.78,7.83
2025-12-19T17:18:49.956966,27.46,7.83
2025-12-19T17:18:50.007988,27.03,7.81
2025-12-19T17:18:50.058720,26.53,7.71
2025-12-19T17:18:50.109814,26.23,7.61
2025-12-19T17:18:50.160814,25.81,7.43
2025-12-19T17:18:50.211783,25.52,7.29
2025-12-19T17:18:50.263012,25.06,7.09
2025-12-19T17:18:50.314812,24.77,6.96
2025-12-19T17:18:50.365699,24.39,6.77
2025-12-19T17:18:50.416901,24.12,6.65
2025-12-19T17:18:50.468203,23.7,6.46
2025-12-19T17:18:50.519184,23.34,6.3
2025-12-19T17:18:50.570244,23.08,6.17
2025-12-19T17:18:50.621796,22.69,5.98
2025-12-19T17:18:50.672922,22.45,5.87
2025-12-19T17:18:50.724343,22.12,5.7
2025-12-19T17:18:50.775332,21.84,5.57
2025-12-19T17:18:50.826837,21.53,5.42
2025-12-19T17:18:50.878524,21.31,5.32
2025-12-19T17:18:50.930194,21.01,5.18
2025-12-19T17:18:50.981306,20.67,5.02
2025-12-19T17:18:51.034288,20.47,4.93
2025-12-19T17:18:51.085831,20.15,4.77
2025-12-19T17:18:51.136688,20.0,4.69
2025-12-19T17:18:51.189416,19.7,4.55
2025-12-19T17:18:51.240311,19.44,4.44
2025-12-19T17:18:51.291382,19.26,4.36
2025-12-19T17:18:51.342338,18.97,4.22
2025-12-19T17:18:51.392989,18.8,4.15
2025-12-19T17:18:51.443772,18.57,4.04
2025-12-19T17:18:51.494768,18.4,3.96
2025-12-19T17:18:51.546060,18.14,3.85
2025-12-19T17:18:51.598424,17.98,3.78
2025-12-19T17:18:51.649827,17.77,3.68
2025-12-19T17:18:51.700804,17.52,3.57
2025-12-19T17:18:51.753264,17.37,3.5
2025-12-19T17:18:51.804912,17.17,3.39
2025-12-19T17:18:51.856367,17.03,3.33
2025-12-19T17:18:51.907184,16.81,3.24
2025-12-19T17:18:51.958370,16.67,3.19
2025-12-19T17:18:52.009194,16.46,3.11
2025-12-19T17:18:52.060392,16.28,3.05
2025-12-19T17:18:52.111214,16.15,3.01
2025-12-19T17:18:52.162277,15.97,2.94
2025-12-19T17:18:52.213455,15.83,2.89
2025-12-19T17:18:52.264022,15.66,2.83
2025-12-19T17:18:52.315123,15.54,2.79
2025-12-19T17:18:52.366159,15.38,2.73
2025-12-19T17:18:52.418110,15.24,2.68
2025-12-19T17:18:52.469252,15.09,2.63
2025-12-19T17:18:52.520204,14.94,2.57
2025-12-19T17:18:52.571190,14.83,2.54
2025-12-19T17:18:52.622065,14.66,2.48
2025-12-19T17:18:52.673429,14.56,2.45
2025-12-19T17:18:52.724550,14.42,2.4
2025-12-19T17:18:52.775440,14.3,2.35
2025-12-19T17:18:52.826233,14.16,2.31
2025-12-19T17:18:52.878816,14.06,2.27
2025-12-19T17:18:52.930440,13.93,2.22
2025-12-19T17:18:52.981290,13.78,2.18
2025-12-19T17:18:53.033663,13.69,2.15
2025-12-19T17:18:53.084267,13.56,2.1
2025-12-19T17:18:53.135630,13.46,2.06
2025-12-19T17:18:53.186295,13.33,2.01
2025-12-19T17:18:53.238609,13.25,1.98
2025-12-19T17:18:53.289926,13.13,1.93
2025-12-19T17:18:53.341053,13.0,1.89
2025-12-19T17:18:53.391775,12.92,1.86
2025-12-19T17:18:53.443030,12.81,1.82
2025-12-19T17:18:53.494109,12.73,1.79
2025-12-19T17:18:53.544909,12.61,1.75
2025-12-19T17:18:53.596252,12.54,1.72
2025-12-19T17:18:53.647609,12.43,1.68
2025-12-19T17:18:53.698753,12.35,1.64
2025-12-19T17:18:53.749914,12.26,1.61
2025-12-19T17:18:53.800679,12.16,1.58
2025-12-19T17:18:53.851602,12.1,1.55
2025-12-19T17:18:53.902802,11.99,1.52
2025-12-19T17:18:53.955089,11.93,1.5
2025-12-19T17:18:54.006379,11.83,1.46
2025-12-19T17:18:54.057803,11.78,1.44
2025-12-19T17:18:54.108775,11.68,1.39
2025-12-19T17:18:54.160006,11.62,1.37
2025-12-19T17:18:54.210892,11.54,1.33
2025-12-19T17:18:54.261660,11.44,1.29
2025-12-19T17:18:54.312589,11.39,1.27
2025-12-19T17:18:54.363235,11.31,1.23
2025-12-19T17:18:54.414350,11.26,1.2
2025-12-19T17:18:54.465215,11.18,1.16
2025-12-19T17:18:54.516103,11.12,1.14
2025-12-19T17:18:54.567143,11.05,1.1
2025-12-19T17:18:54.619294,11.0,1.07
2025-12-19T17:18:54.670327,10.93,1.04
2025-12-19T17:18:54.721102,10.87,1.01
2025-12-19T17:18:54.771958,10.82,0.99
2025-12-19T17:18:54.822964,10.76,0.96
2025-12-19T17:18:54.874209,10.71,0.95
2025-12-19T17:18:54.925513,10.66,0.92
2025-12-19T17:18:54.976690,10.62,0.9
2025-12-19T17:18:55.027670,10.55,0.87
2025-12-19T17:18:55.079897,10.52,0.85
2025-12-19T17:18:55.130757,10.47,0.83
2025-12-19T17:18:55.181796,10.41,0.81
2025-12-19T17:18:55.232574,10.38,0.8
2025-12-19T17:18:55.283558,10.33,0.79
2025-12-19T17:18:55.334677,10.29,0.79
2025-12-19T17:18:55.385783,10.24,0.79
2025-12-19T17:18:55.436591,10.21,0.79
2025-12-19T17:18:55.487591,10.16,0.79
2025-12-19T17:18:55.539827,10.12,0.79
2025-12-19T17:18:55.590712,10.07,0.79
2025-12-19T17:18:55.641490,10.02,0.8
2025-12-19T17:18:55.692630,9.99,0.8
2025-12-19T17:18:55.743837,9.93,0.81
2025-12-19T17:18:55.795048,9.9,0.81
2025-12-19T17:18:55.845971,9.85,0.81
2025-12-19T17:18:55.896943,9.81,0.81
2025-12-19T17:18:55.947698,9.76,0.82
2025-12-19T17:18:56.000021,9.72,0.82
2025-12-19T17:18:56.050865,9.67,0.82
2025-12-19T17:18:56.102017,9.62,0.82
2025-12-19T17:18:56.153312,9.58,0.83
2025-12-19T17:18:56.204813,9.53,0.83
2025-12-19T17:18:56.255770,9.5,0.84
2025-12-19T17:18:56.307152,9.45,0.84
2025-12-19T17:18:56.359962,9.41,0.85
2025-12-19T17:18:56.410766,9.36,0.85
2025-12-19T17:18:56.461822,9.31,0.86
2025-12-19T17:18:56.512965,9.27,0.86
2025-12-19T17:18:56.563751,9.22,0.86
2025-12-19T17:18:56.614727,9.19,0.87
2025-12-19T17:18:56.666329,9.13,0.87
2025-12-19T17:18:56.717946,9.1,0.88
2025-12-19T17:18:56.768695,9.04,0.89
