timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg
2026-01-20T15:57:28.637493,CLIMB,0.0,-0.01,0.06,-0.13,-0.14,91.61
2026-01-20T15:57:28.738623,CLIMB,0.0,-0.01,0.06,-0.17,-0.13,91.6
2026-01-20T15:57:28.839491,CLIMB,0.0,-0.01,0.06,-0.13,-0.13,91.6
2026-01-20T15:57:28.940010,CLIMB,0.0,-0.01,0.06,-0.11,-0.15,91.63
2026-01-20T15:57:29.040733,CLIMB,0.0,-0.01,0.06,-0.11,-0.15,91.66
2026-01-20T15:57:29.141085,CLIMB,0.0,-0.01,0.05,-0.1,-0.15,91.67
2026-01-20T15:57:29.241972,CLIMB,0.01,-0.01,0.06,-0.1,-0.17,91.66
2026-01-20T15:57:29.342255,CLIMB,0.01,0.0,0.06,-0.1,-0.18,91.66
2026-01-20T15:57:29.443193,CLIMB,0.01,0.0,0.11,-0.1,-0.17,91.69
2026-01-20T15:57:29.544180,CLIMB,0.01,-0.01,0.43,-0.11,-0.17,91.68
2026-01-20T15:57:29.644766,CLIMB,0.01,-0.01,0.97,-0.11,-0.19,91.69
2026-01-20T15:57:29.745323,CLIMB,0.01,0.0,1.85,-0.09,-0.17,91.71
2026-01-20T15:57:29.845480,CLIMB,0.0,0.0,2.93,-0.09,-0.18,91.74
2026-01-20T15:57:29.946514,CLIMB,0.0,0.0,4.48,-0.1,-0.21,91.91
2026-01-20T15:57:30.047114,CLIMB,0.0,-0.05,6.31,-0.1,-0.77,93.46
2026-01-20T15:57:30.147543,CLIMB,0.01,-0.05,8.11,-0.09,-1.88,96.21
2026-01-20T15:57:30.248450,CLIMB,0.01,-0.03,9.96,-0.09,-2.37,99.24
2026-01-20T15:57:30.349444,CLIMB,0.02,-0.04,11.95,-0.07,-2.59,101.29
2026-01-20T15:57:30.450406,CLIMB,0.02,-0.05,13.69,-0.01,-2.73,101.42
2026-01-20T15:57:30.551585,CLIMB,0.03,-0.05,15.39,0.03,-2.8,100.59
2026-01-20T15:57:30.652653,CLIMB,0.03,-0.07,16.84,0.08,-2.87,99.42
2026-01-20T15:57:30.753284,CLIMB,0.04,-0.1,18.24,0.2,-2.98,98.22
2026-01-20T15:57:30.854328,CLIMB,0.06,-0.22,18.82,0.44,-2.94,96.05
2026-01-20T15:57:30.955088,CLIMB,0.08,-0.1,19.61,0.07,-2.91,95.14
2026-01-20T15:57:31.056120,CLIMB,0.1,-0.13,20.28,0.16,-2.68,94.66
2026-01-20T15:57:31.157275,CLIMB,0.13,-0.17,21.01,0.29,-2.6,93.3
2026-01-20T15:57:31.258661,CLIMB,0.15,-0.23,21.57,0.4,-2.39,91.92
2026-01-20T15:57:31.359262,CLIMB,0.18,-0.44,22.01,0.49,-1.81,91.12
2026-01-20T15:57:31.460127,CLIMB,0.24,-0.77,22.3,0.57,-0.88,90.9
2026-01-20T15:57:31.561340,CLIMB,0.35,-1.26,22.49,0.65,0.29,91.0
2026-01-20T15:57:31.662412,CLIMB,0.46,-1.77,22.59,0.75,1.61,91.16
2026-01-20T15:57:31.763335,CLIMB,0.65,-2.37,22.62,0.98,3.0,91.28
2026-01-20T15:57:31.863831,CLIMB,0.95,-3.06,22.58,2.3,4.37,92.11
2026-01-20T15:57:31.964590,CLIMB,1.27,-3.64,22.51,3.74,5.71,93.57
2026-01-20T15:57:32.065718,CLIMB,1.58,-4.11,22.43,4.65,6.86,94.26
2026-01-20T15:57:32.166948,CLIMB,1.97,-4.52,22.37,5.12,7.91,94.06
2026-01-20T15:57:32.267582,CLIMB,2.38,-4.77,22.32,5.28,8.7,93.5
2026-01-20T15:57:32.368761,CLIMB,2.85,-4.97,22.32,5.32,9.22,82.48
2026-01-20T15:57:32.469555,CLIMB,3.27,-5.1,22.34,5.3,9.59,83.95
2026-01-20T15:57:32.570683,CLIMB,3.72,-5.24,22.35,5.24,9.93,85.67
2026-01-20T15:57:32.671339,CLIMB,4.24,-5.39,22.34,5.06,10.31,87.21
2026-01-20T15:57:32.772188,CLIMB,4.74,-5.51,22.32,4.76,10.67,87.98
2026-01-20T15:57:32.872596,CLIMB,5.27,-5.61,22.32,4.3,10.9,87.36
2026-01-20T15:57:32.973409,CLIMB,5.79,-5.68,22.34,3.85,11.08,86.56
2026-01-20T15:57:33.074056,CLIMB,6.36,-5.73,22.34,3.36,11.2,86.03
2026-01-20T15:57:33.175173,CLIMB,6.91,-5.78,22.34,2.88,11.31,85.69
2026-01-20T15:57:33.276386,CLIMB,7.49,-5.82,22.35,2.31,11.39,84.87
2026-01-20T15:57:33.377541,CLIMB,8.04,-5.86,22.36,1.76,11.49,84.29
2026-01-20T15:57:33.477847,CLIMB,8.65,-5.89,22.37,1.23,11.55,83.94
2026-01-20T15:57:33.578675,CLIMB,9.21,-5.91,22.36,0.71,11.59,83.71
2026-01-20T15:57:33.679640,CLIMB,9.82,-5.92,22.37,0.18,11.59,83.24
2026-01-20T15:57:33.780336,CLIMB,10.39,-5.92,22.38,-0.32,11.57,82.86
2026-01-20T15:57:33.881119,CLIMB,11.01,-5.92,22.39,-0.78,11.58,82.65
2026-01-20T15:57:33.982245,CLIMB,11.58,-5.91,22.4,-1.21,11.55,82.49
2026-01-20T15:57:34.083270,CLIMB,12.19,-5.9,22.4,-1.63,11.5,82.26
2026-01-20T15:57:34.184410,CLIMB,12.76,-5.88,22.4,-2.02,11.46,82.01
2026-01-20T15:57:34.285533,CLIMB,13.47,-5.86,22.41,-2.36,11.42,81.86
2026-01-20T15:57:34.385889,CLIMB,14.08,-5.84,22.42,-2.63,11.37,81.76
2026-01-20T15:57:34.486856,CLIMB,14.69,-5.81,22.42,-2.9,11.33,81.57
2026-01-20T15:57:34.587881,CLIMB,15.25,-5.78,22.42,-3.1,11.28,81.41
2026-01-20T15:57:34.688698,CLIMB,15.81,-5.75,22.43,-3.28,11.2,81.29
2026-01-20T15:57:34.789360,CLIMB,16.41,-5.72,22.43,-3.43,11.1,81.15
2026-01-20T15:57:34.890458,CLIMB,16.96,-5.7,22.44,-3.54,11.04,81.06
2026-01-20T15:57:34.991475,CLIMB,17.56,-5.67,22.45,-3.61,10.94,80.98
2026-01-20T15:57:35.092548,CLIMB,18.11,-5.64,22.46,-3.67,10.88,80.89
2026-01-20T15:57:35.192935,CLIMB,18.7,-5.61,22.46,-3.72,10.81,80.87
2026-01-20T15:57:35.293769,CLIMB,19.25,-5.58,22.48,-3.71,10.72,80.94
2026-01-20T15:57:35.394576,CLIMB,19.83,-5.55,22.49,-3.68,10.66,81.01
2026-01-20T15:57:35.494880,CLIMB,20.37,-5.52,22.5,-3.64,10.6,81.01
2026-01-20T15:57:35.595615,CLIMB,20.95,-5.49,22.52,-3.58,10.52,81.05
2026-01-20T15:57:35.696399,CLIMB,21.48,-5.46,22.52,-3.48,10.43,81.25
2026-01-20T15:57:35.797361,CLIMB,22.06,-5.43,22.54,-3.37,10.37,81.44
2026-01-20T15:57:35.898498,CLIMB,22.58,-5.41,22.55,-3.26,10.28,81.53
2026-01-20T15:57:35.999716,CLIMB,23.15,-5.38,22.57,-3.14,10.19,81.64
2026-01-20T15:57:36.100755,CLIMB,23.67,-5.35,22.59,-3.01,10.12,81.91
2026-01-20T15:57:36.201757,CLIMB,24.24,-5.33,22.6,-2.84,10.04,82.14
2026-01-20T15:57:36.302297,CLIMB,24.75,-5.3,22.62,-2.73,9.97,82.2
2026-01-20T15:57:36.403532,CLIMB,25.31,-5.28,22.64,-2.62,9.91,82.36
2026-01-20T15:57:36.504534,CLIMB,25.82,-5.25,22.66,-2.46,9.85,82.65
2026-01-20T15:57:36.605599,CLIMB,26.38,-5.22,22.68,-2.34,9.79,82.87
2026-01-20T15:57:36.706873,CLIMB,27.01,-5.19,22.7,-2.23,9.74,82.97
2026-01-20T15:57:36.807771,CLIMB,27.52,-5.17,22.72,-2.1,9.67,83.08
2026-01-20T15:57:36.908678,CLIMB,28.06,-5.15,22.74,-1.97,9.6,83.3
2026-01-20T15:57:37.009590,CLIMB,28.56,-5.12,22.76,-1.84,9.53,83.45
2026-01-20T15:57:37.110280,CLIMB,29.1,-5.1,22.77,-1.73,9.46,83.52
2026-01-20T15:57:37.210692,CLIMB,29.64,-5.08,22.78,-1.66,9.41,83.55
2026-01-20T15:57:37.311143,CLIMB,30.14,-5.06,22.8,-1.54,9.33,83.68
2026-01-20T15:57:37.411863,CLIMB,30.63,-5.04,22.81,-1.45,9.27,83.77
2026-01-20T15:57:37.512257,CLIMB,31.16,-5.02,22.83,-1.39,9.22,83.77
2026-01-20T15:57:37.613277,CLIMB,31.65,-5.0,22.84,-1.3,9.17,83.82
2026-01-20T15:57:37.714387,CLIMB,32.18,-4.99,22.85,-1.22,9.11,83.89
2026-01-20T15:57:37.815213,CLIMB,32.67,-4.97,22.86,-1.16,9.08,83.95
2026-01-20T15:57:37.916261,CLIMB,33.19,-4.94,22.87,-1.1,9.04,83.96
2026-01-20T15:57:38.016800,CLIMB,33.67,-4.92,22.89,-1.03,8.97,83.99
2026-01-20T15:57:38.117543,CLIMB,34.19,-4.9,22.9,-1.0,8.93,84.06
2026-01-20T15:57:38.218742,CLIMB,34.67,-4.89,22.91,-0.96,8.88,84.13
2026-01-20T15:57:38.319090,CLIMB,35.18,-4.87,22.92,-0.89,8.83,84.16
2026-01-20T15:57:38.419408,CLIMB,35.66,-4.86,22.93,-0.86,8.78,84.18
2026-01-20T15:57:38.520230,CLIMB,36.17,-4.84,22.94,-0.83,8.75,84.22
2026-01-20T15:57:38.620665,CLIMB,36.64,-4.83,22.95,-0.8,8.72,84.23
2026-01-20T15:57:38.721579,CLIMB,37.15,-4.82,22.96,-0.77,8.67,84.26
2026-01-20T15:57:38.822790,CLIMB,37.62,-4.81,22.97,-0.73,8.63,84.3
2026-01-20T15:57:38.923180,CLIMB,38.13,-4.8,22.98,-0.7,8.6,84.35
2026-01-20T15:57:39.023843,CLIMB,38.6,-4.79,22.99,-0.67,8.59,84.36
2026-01-20T15:57:39.124553,CLIMB,39.1,-4.78,23.0,-0.66,8.56,84.38
2026-01-20T15:57:39.225603,CLIMB,39.56,-4.77,23.0,-0.65,8.53,84.41
2026-01-20T15:57:39.326626,CLIMB,40.06,-4.76,23.01,-0.63,8.51,84.42
2026-01-20T15:57:39.427578,CLIMB,40.53,-4.74,23.02,-0.6,8.48,84.42
2026-01-20T15:57:39.527906,CLIMB,41.02,-4.73,23.03,-0.57,8.44,84.41
2026-01-20T15:57:39.628696,CLIMB,41.6,-4.73,23.03,-0.54,8.43,84.42
2026-01-20T15:57:39.728836,CLIMB,42.06,-4.72,23.04,-0.52,8.39,84.41
2026-01-20T15:57:39.829435,CLIMB,42.56,-4.71,23.04,-0.49,8.37,84.42
2026-01-20T15:57:39.930606,CLIMB,43.02,-4.71,23.04,-0.47,8.35,84.42
2026-01-20T15:57:40.031731,CLIMB,43.51,-4.7,23.05,-0.45,8.33,84.42
2026-01-20T15:57:40.132314,CLIMB,44.0,-4.69,23.06,-0.43,8.3,84.43
2026-01-20T15:57:40.232875,CLIMB,44.46,-4.68,23.07,-0.41,8.28,84.44
2026-01-20T15:57:40.333959,CLIMB,44.91,-4.67,23.08,-0.41,8.24,84.45
2026-01-20T15:57:40.435066,CLIMB,45.4,-4.67,23.08,-0.39,8.21,84.47
2026-01-20T15:57:40.536080,CLIMB,45.86,-4.67,23.09,-0.37,8.21,84.54
2026-01-20T15:57:40.636906,CLIMB,46.34,-4.66,23.09,-0.35,8.19,84.59
2026-01-20T15:57:40.737269,CLIMB,46.8,-4.65,23.1,-0.34,8.18,84.63
2026-01-20T15:57:40.838411,CLIMB,47.28,-4.65,23.11,-0.32,8.17,84.65
2026-01-20T15:57:40.938838,CLIMB,47.73,-4.64,23.12,-0.31,8.16,84.69
2026-01-20T15:57:41.039719,CLIMB,48.22,-4.63,23.13,-0.31,8.15,84.7
2026-01-20T15:57:41.140494,CLIMB,48.66,-4.62,23.13,-0.31,8.11,84.71
2026-01-20T15:57:41.241414,CLIMB,49.15,-4.62,23.14,-0.29,8.11,84.73
2026-01-20T15:57:41.342402,CLIMB,49.59,-4.61,23.13,-0.28,8.1,84.76
2026-01-20T15:57:41.443199,CLIMB,50.07,-4.61,23.14,-0.29,8.1,84.77
2026-01-20T15:57:41.544458,CLIMB,50.52,-4.6,23.14,-0.28,8.06,84.79
2026-01-20T15:57:41.645634,CLIMB,51.0,-4.59,23.14,-0.25,8.07,84.83
2026-01-20T15:57:41.746235,CLIMB,51.44,-4.59,23.14,-0.25,8.05,84.88
2026-01-20T15:57:41.847281,CLIMB,51.92,-4.58,23.15,-0.23,8.05,84.89
2026-01-20T15:57:41.948070,CLIMB,52.4,-4.57,23.15,-0.25,8.02,84.91
2026-01-20T15:57:42.048321,CLIMB,52.84,-4.57,23.15,-0.23,8.03,84.98
2026-01-20T15:57:42.149095,CLIMB,53.28,-4.57,23.15,-0.24,8.0,85.02
