timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-09T19:27:33.252180,ASCENT,9.11,-0.86,0.01,0.04,0.29,90.78,0.0,0.0
2026-01-09T19:27:33.303051,ASCENT,9.16,-0.83,0.02,0.09,0.29,90.75,0.0,0.0
2026-01-09T19:27:33.353642,ASCENT,9.2,-0.81,0.02,0.1,0.31,90.73,0.0,0.0
2026-01-09T19:27:33.404895,ASCENT,9.26,-1.6,0.04,0.17,0.64,90.12,0.0,0.0
2026-01-09T19:27:33.455997,ASCENT,9.34,-2.26,0.05,0.18,1.54,86.76,0.0,0.0
2026-01-09T19:27:33.506706,ASCENT,9.52,-3.22,0.09,-0.03,1.51,82.15,0.0,0.0
2026-01-09T19:27:33.557951,ASCENT,9.66,-3.8,0.11,0.06,1.27,77.02,0.0,0.0
2026-01-09T19:27:33.608384,ASCENT,9.89,-4.5,0.13,0.21,0.84,70.55,0.0,0.0
2026-01-09T19:27:33.658697,ASCENT,10.19,-5.05,0.14,0.53,0.41,63.1,0.0,0.0
2026-01-09T19:27:33.708940,ASCENT,10.39,-5.38,0.13,1.09,-0.03,53.66,0.0,0.0
2026-01-09T19:27:33.759273,ASCENT,10.69,-5.69,0.09,1.68,-1.17,45.07,0.0,0.0
2026-01-09T19:27:33.810145,ASCENT,10.91,-5.8,0.06,2.15,-2.28,37.51,0.0,0.0
2026-01-09T19:27:33.860687,ASCENT,11.26,-5.87,0.02,2.11,-2.67,32.57,0.0,0.0
2026-01-09T19:27:33.911233,ASCENT,11.49,-5.89,0.04,1.5,-2.51,28.87,0.0,0.0
2026-01-09T19:27:33.962364,ASCENT,11.8,-5.91,0.07,0.68,-1.97,26.84,0.0,0.0
2026-01-09T19:27:34.013371,ASCENT,12.02,-5.93,0.09,-0.44,-0.98,24.61,0.0,0.0
2026-01-09T19:27:34.064612,ASCENT,12.39,-5.96,0.08,-1.23,-0.04,22.48,0.0,0.0
2026-01-09T19:27:34.115210,ASCENT,12.61,-5.97,0.06,-1.68,0.91,19.64,0.0,0.0
2026-01-09T19:27:34.165817,ASCENT,12.94,-5.99,0.04,-1.62,1.33,17.48,0.0,0.0
2026-01-09T19:27:34.216234,ASCENT,13.17,-5.99,0.03,-1.0,1.5,14.41,0.0,0.0
2026-01-09T19:27:34.267157,ASCENT,13.54,-6.0,0.02,-0.32,1.32,12.62,0.0,0.0
2026-01-09T19:27:34.317845,ASCENT,13.77,-6.0,0.02,0.73,0.68,10.48,0.0,0.0
2026-01-09T19:27:34.369033,ASCENT,14.1,-6.0,0.01,1.42,0.09,9.12,0.0,0.0
2026-01-09T19:27:34.419621,ASCENT,14.47,-6.01,0.01,1.73,-0.39,8.19,0.0,0.0
2026-01-09T19:27:34.470088,ASCENT,14.71,-6.01,0.02,1.61,-0.75,7.37,0.0,0.0
2026-01-09T19:27:34.520619,ASCENT,15.04,-6.01,0.04,1.14,-0.8,6.66,0.0,0.0
2026-01-09T19:27:34.570967,ASCENT,15.32,-6.02,0.05,0.41,-0.66,5.91,0.0,0.0
2026-01-09T19:27:34.621461,ASCENT,15.66,-6.02,0.05,-0.31,-0.4,5.18,0.0,0.0
2026-01-09T19:27:34.671802,ASCENT,15.9,-6.02,0.04,-0.9,-0.0,4.36,0.0,0.0
2026-01-09T19:27:34.722323,ASCENT,16.23,-6.02,0.03,-1.15,0.32,3.64,0.0,0.0
2026-01-09T19:27:34.772716,ASCENT,16.47,-6.02,0.02,-1.08,0.58,2.93,0.0,0.0
2026-01-09T19:27:34.823009,ASCENT,16.85,-6.02,0.01,-0.73,0.7,2.41,0.0,0.0
2026-01-09T19:27:34.873846,ASCENT,17.09,-6.02,0.02,-0.09,0.61,1.97,0.0,0.0
