time,altitude,v_down
2025-12-20T23:22:54.670166,44.42,-0.83
2025-12-20T23:22:54.721390,44.46,-0.82
2025-12-20T23:22:54.772989,44.5,-0.64
2025-12-20T23:22:54.823928,44.53,-0.24
2025-12-20T23:22:54.876224,44.53,0.01
2025-12-20T23:22:54.927333,44.52,0.38
2025-12-20T23:22:54.978063,44.5,0.66
2025-12-20T23:22:55.028889,44.45,1.16
2025-12-20T23:22:55.080922,44.4,1.53
2025-12-20T23:22:55.132012,44.3,2.13
2025-12-20T23:22:55.183201,44.15,2.87
2025-12-20T23:22:55.234620,44.04,3.29
2025-12-20T23:22:55.285440,43.86,3.76
2025-12-20T23:22:55.336612,43.72,4.03
2025-12-20T23:22:55.387323,43.46,4.4
2025-12-20T23:22:55.438492,43.3,4.62
2025-12-20T23:22:55.489611,43.02,4.95
2025-12-20T23:22:55.541887,42.84,5.18
2025-12-20T23:22:55.593608,42.56,5.52
2025-12-20T23:22:55.644667,42.25,5.98
2025-12-20T23:22:55.696709,42.01,6.4
2025-12-20T23:22:55.747726,41.59,7.14
2025-12-20T23:22:55.799087,41.31,7.49
2025-12-20T23:22:55.850538,40.91,7.71
2025-12-20T23:22:55.902172,40.55,7.67
2025-12-20T23:22:55.953200,40.14,7.55
2025-12-20T23:22:56.004044,39.74,7.42
2025-12-20T23:22:56.055252,39.46,7.36
2025-12-20T23:22:56.105830,39.01,7.28
2025-12-20T23:22:56.156873,38.73,7.24
2025-12-20T23:22:56.208039,38.33,7.21
2025-12-20T23:22:56.259231,38.05,7.2
2025-12-20T23:22:56.309950,37.6,7.2
2025-12-20T23:22:56.361812,37.31,7.21
2025-12-20T23:22:56.412829,36.91,7.23
2025-12-20T23:22:56.463933,36.45,7.27
2025-12-20T23:22:56.515068,36.16,7.29
2025-12-20T23:22:56.565793,35.76,7.32
2025-12-20T23:22:56.616730,35.46,7.34
2025-12-20T23:22:56.667630,35.0,7.38
2025-12-20T23:22:56.718771,34.7,7.4
2025-12-20T23:22:56.769851,34.28,7.45
2025-12-20T23:22:56.822271,33.99,7.48
2025-12-20T23:22:56.873118,33.51,7.55
2025-12-20T23:22:56.924641,33.02,7.6
2025-12-20T23:22:56.977151,32.78,7.62
2025-12-20T23:22:57.028688,32.29,7.64
2025-12-20T23:22:57.079572,31.98,7.63
2025-12-20T23:22:57.130827,31.55,7.59
2025-12-20T23:22:57.182446,31.25,7.56
2025-12-20T23:22:57.233498,30.77,7.51
2025-12-20T23:22:57.284499,30.28,7.49
2025-12-20T23:22:57.337347,29.98,7.5
2025-12-20T23:22:57.387991,29.56,7.51
2025-12-20T23:22:57.439014,29.26,7.53
2025-12-20T23:22:57.490057,28.77,7.54
2025-12-20T23:22:57.542483,28.47,7.55
2025-12-20T23:22:57.594240,28.04,7.56
2025-12-20T23:22:57.645281,27.61,7.56
2025-12-20T23:22:57.697292,27.25,7.57
2025-12-20T23:22:57.748750,26.82,7.57
2025-12-20T23:22:57.800344,26.51,7.58
2025-12-20T23:22:57.851374,26.03,7.58
2025-12-20T23:22:57.902882,25.72,7.59
2025-12-20T23:22:57.954325,25.29,7.6
2025-12-20T23:22:58.005434,24.86,7.6
2025-12-20T23:22:58.057399,24.56,7.61
2025-12-20T23:22:58.108311,24.07,7.62
2025-12-20T23:22:58.159493,23.76,7.62
2025-12-20T23:22:58.210414,23.33,7.63
2025-12-20T23:22:58.262790,23.02,7.64
2025-12-20T23:22:58.314435,22.53,7.65
2025-12-20T23:22:58.365327,22.1,7.65
2025-12-20T23:22:58.417503,21.73,7.65
2025-12-20T23:22:58.468860,21.3,7.66
2025-12-20T23:22:58.519480,20.99,7.66
2025-12-20T23:22:58.570671,20.56,7.67
2025-12-20T23:22:58.622414,20.25,7.68
2025-12-20T23:22:58.673579,19.75,7.68
2025-12-20T23:22:58.724697,19.26,7.7
2025-12-20T23:22:58.775778,19.01,7.7
2025-12-20T23:22:58.826572,18.51,7.71
2025-12-20T23:22:58.877579,18.2,7.72
2025-12-20T23:22:58.928785,17.77,7.72
2025-12-20T23:22:58.979484,17.45,7.73
2025-12-20T23:22:59.030972,16.96,7.74
2025-12-20T23:22:59.082548,16.64,7.75
2025-12-20T23:22:59.133741,16.21,7.76
2025-12-20T23:22:59.184874,15.71,7.77
2025-12-20T23:22:59.235851,15.39,7.77
2025-12-20T23:22:59.287128,14.96,7.78
2025-12-20T23:22:59.338869,14.58,7.79
2025-12-20T23:22:59.390429,14.14,7.8
2025-12-20T23:22:59.441480,13.83,7.81
2025-12-20T23:22:59.492428,13.39,7.81
2025-12-20T23:22:59.543285,13.01,7.81
2025-12-20T23:22:59.594491,12.57,7.81
2025-12-20T23:22:59.646097,12.07,7.81
2025-12-20T23:22:59.698476,11.82,7.8
2025-12-20T23:22:59.749306,11.31,7.8
2025-12-20T23:22:59.800630,11.0,7.8
2025-12-20T23:22:59.851583,10.5,7.81
2025-12-20T23:22:59.903460,10.25,7.81
2025-12-20T23:22:59.954636,9.74,7.81
2025-12-20T23:23:00.005516,9.3,7.82
2025-12-20T23:23:00.056586,8.93,7.82
2025-12-20T23:23:00.107495,8.49,7.82
2025-12-20T23:23:00.158763,8.17,7.83
2025-12-20T23:23:00.210462,7.67,7.83
2025-12-20T23:23:00.261538,7.41,7.84
2025-12-20T23:23:00.312616,6.91,7.84
2025-12-20T23:23:00.363327,6.59,7.84
2025-12-20T23:23:00.414477,6.15,7.85
2025-12-20T23:23:00.465762,5.65,7.85
2025-12-20T23:23:00.516936,5.33,7.85
2025-12-20T23:23:00.567693,4.89,7.85
2025-12-20T23:23:00.619104,4.51,7.85
2025-12-20T23:23:00.669922,4.07,7.85
2025-12-20T23:23:00.720906,3.75,7.85
