timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-10T16:58:47.460497,ASCENT,9.1,-0.86,0.02,0.13,0.41,104.75,0.0,0.0
2026-01-10T16:58:47.511234,ASCENT,9.13,-0.85,0.02,0.12,0.43,104.74,0.0,0.0
2026-01-10T16:58:47.562168,ASCENT,9.18,-0.82,0.02,0.09,0.49,104.73,0.0,0.0
2026-01-10T16:58:47.612394,ASCENT,9.26,-1.74,0.04,0.13,0.9,104.11,0.0,0.0
2026-01-10T16:58:47.663184,ASCENT,9.35,-2.39,0.06,0.13,1.74,101.29,0.0,0.0
2026-01-10T16:58:47.713619,ASCENT,9.51,-3.22,0.09,0.02,1.89,97.16,0.0,0.0
2026-01-10T16:58:47.764346,ASCENT,9.65,-3.79,0.13,0.23,1.6,90.78,0.0,0.0
2026-01-10T16:58:47.815343,ASCENT,9.92,-4.58,0.15,0.43,1.22,85.9,0.0,0.0
2026-01-10T16:58:47.866162,ASCENT,10.12,-4.91,0.16,0.91,0.58,76.78,0.0,0.0
2026-01-10T16:58:47.917240,ASCENT,10.4,-5.37,0.15,1.56,0.16,67.19,0.0,0.0
2026-01-10T16:58:47.967432,ASCENT,10.63,-5.63,0.12,2.18,-0.88,58.05,0.0,0.0
2026-01-10T16:58:48.018285,ASCENT,11.0,-5.82,0.08,2.7,-2.13,48.54,0.0,0.0
2026-01-10T16:58:48.068917,ASCENT,11.22,-5.86,0.04,2.69,-2.65,42.46,0.0,0.0
2026-01-10T16:58:48.120033,ASCENT,11.54,-5.87,0.03,2.15,-2.73,36.74,0.0,0.0
2026-01-10T16:58:48.170917,ASCENT,11.77,-5.87,0.06,1.08,-2.32,32.21,0.0,0.0
2026-01-10T16:58:48.221891,ASCENT,12.13,-5.88,0.09,-0.11,-1.59,28.58,0.0,0.0
2026-01-10T16:58:48.272979,ASCENT,12.45,-5.9,0.09,-1.24,-0.68,25.06,0.0,0.0
2026-01-10T16:58:48.323524,ASCENT,12.68,-5.9,0.09,-2.11,0.38,21.0,0.0,0.0
2026-01-10T16:58:48.374285,ASCENT,13.05,-5.92,0.06,-2.25,1.08,17.88,0.0,0.0
2026-01-10T16:58:48.425156,ASCENT,13.28,-5.93,0.05,-1.71,1.8,13.91,0.0,0.0
2026-01-10T16:58:48.475462,ASCENT,13.65,-5.93,0.04,-0.95,2.03,11.64,0.0,0.0
2026-01-10T16:58:48.526448,ASCENT,13.84,-5.93,0.04,0.51,1.92,8.79,0.0,0.0
2026-01-10T16:58:48.577075,ASCENT,14.21,-5.93,0.03,1.49,1.42,7.13,0.0,0.0
2026-01-10T16:58:48.627324,ASCENT,14.44,-5.94,0.02,2.04,0.73,6.01,0.0,0.0
2026-01-10T16:58:48.678350,ASCENT,14.77,-5.94,0.02,2.12,-0.03,5.12,0.0,0.0
2026-01-10T16:58:48.729238,ASCENT,15.0,-5.95,0.04,1.77,-0.53,4.53,0.0,0.0
2026-01-10T16:58:48.780373,ASCENT,15.38,-5.95,0.05,0.97,-0.79,3.92,0.0,0.0
2026-01-10T16:58:48.831212,ASCENT,15.61,-5.96,0.06,0.05,-0.75,3.39,0.0,0.0
2026-01-10T16:58:48.882256,ASCENT,15.94,-5.96,0.05,-0.9,-0.46,2.78,0.0,0.0
2026-01-10T16:58:48.933226,ASCENT,16.32,-5.97,0.04,-1.47,0.02,2.21,0.0,0.0
2026-01-10T16:58:48.984107,ASCENT,16.55,-5.97,0.03,-1.65,0.56,1.66,0.0,0.0
2026-01-10T16:58:49.035176,ASCENT,16.88,-5.97,0.02,-1.43,0.92,1.25,0.0,0.0
