timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m
2026-01-20T12:53:03.032833,CLIMB,0.0,0.0,0.03,-0.05,-0.05,89.02,0.0,0.0
2026-01-20T12:53:03.133788,CLIMB,0.0,0.0,0.03,-0.07,-0.04,89.0,0.0,0.0
2026-01-20T12:53:03.234906,CLIMB,0.0,0.0,0.02,-0.06,-0.05,89.0,0.0,0.0
2026-01-20T12:53:03.336005,CLIMB,0.0,0.0,0.02,-0.07,-0.04,89.0,0.0,0.0
2026-01-20T12:53:03.437114,CLIMB,0.0,0.0,0.02,-0.06,-0.01,88.96,0.0,0.0
2026-01-20T12:53:03.537776,CLIMB,0.0,0.0,0.02,-0.05,-0.01,88.94,0.0,0.0
2026-01-20T12:53:03.638908,CLIMB,-0.0,0.01,0.01,-0.04,-0.01,88.9,0.0,0.0
2026-01-20T12:53:03.739507,CLIMB,-0.0,0.0,0.01,-0.01,0.03,88.86,0.0,0.0
2026-01-20T12:53:03.839673,CLIMB,-0.0,0.01,0.01,0.01,0.02,88.81,0.0,0.0
2026-01-20T12:53:03.940773,CLIMB,-0.01,0.01,0.01,0.0,0.02,88.75,0.0,0.0
2026-01-20T12:53:04.041541,CLIMB,-0.01,0.01,0.17,-0.01,0.01,88.73,0.0,0.0
2026-01-20T12:53:04.141727,CLIMB,-0.01,0.01,0.63,0.01,-0.01,88.7,0.0,0.0
2026-01-20T12:53:04.242775,CLIMB,-0.01,0.0,1.33,0.03,-0.02,88.67,0.0,0.0
2026-01-20T12:53:04.343780,CLIMB,0.0,0.0,2.42,0.04,-0.02,88.67,0.0,0.0
2026-01-20T12:53:04.444611,CLIMB,0.0,0.0,3.76,0.05,-0.04,88.69,0.0,0.0
2026-01-20T12:53:04.545657,CLIMB,0.0,-0.03,5.59,0.06,-0.3,89.55,0.0,0.0
2026-01-20T12:53:04.646523,CLIMB,0.01,-0.07,7.46,0.06,-1.45,91.69,0.0,0.0
2026-01-20T12:53:04.747603,CLIMB,0.02,-0.06,9.54,0.07,-2.14,94.13,0.0,0.0
2026-01-20T12:53:04.849741,CLIMB,0.03,-0.06,11.43,0.1,-2.46,95.4,0.0,0.0
2026-01-20T12:53:04.950729,CLIMB,0.03,-0.07,13.35,0.09,-2.63,95.15,0.0,0.0
2026-01-20T12:53:05.051641,CLIMB,0.04,-0.08,15.17,0.1,-2.69,94.66,0.0,0.0
2026-01-20T12:53:05.152010,CLIMB,0.06,-0.11,16.96,0.13,-2.78,93.53,0.0,0.0
2026-01-20T12:53:05.252957,CLIMB,0.07,-0.09,18.13,0.13,-2.9,92.97,0.0,0.0
2026-01-20T12:53:05.353778,CLIMB,0.09,-0.15,19.02,0.13,-2.78,92.59,0.0,0.0
2026-01-20T12:53:05.454821,CLIMB,0.11,-0.16,19.87,0.15,-2.57,91.97,0.0,0.0
2026-01-20T12:53:05.555693,CLIMB,0.14,-0.22,20.63,0.18,-2.35,91.16,0.0,0.0
2026-01-20T12:53:05.656727,CLIMB,0.18,-0.38,21.3,0.24,-1.92,90.66,0.0,0.0
2026-01-20T12:53:05.756977,CLIMB,0.24,-0.72,21.75,0.28,-1.09,90.38,0.0,0.0
2026-01-20T12:53:05.857771,CLIMB,0.33,-1.12,22.04,0.27,-0.06,90.25,0.0,0.0
2026-01-20T12:53:05.958442,CLIMB,0.47,-1.6,22.24,0.28,1.08,90.21,0.0,0.0
2026-01-20T12:53:06.059050,CLIMB,0.65,-2.09,22.34,0.49,2.3,90.26,0.0,0.0
2026-01-20T12:53:06.159594,CLIMB,0.84,-2.59,22.4,0.99,3.67,90.75,0.0,0.0
2026-01-20T12:53:06.260785,CLIMB,1.1,-3.13,22.4,1.19,4.94,90.98,0.0,0.0
2026-01-20T12:53:06.361765,CLIMB,1.39,-3.55,22.38,1.12,5.91,90.85,0.0,0.0
2026-01-20T12:53:06.462641,CLIMB,1.76,-3.92,22.35,0.99,6.77,90.6,0.0,0.0
2026-01-20T12:53:06.563622,CLIMB,2.08,-4.17,22.35,0.83,7.41,90.42,0.0,0.0
2026-01-20T12:53:06.663961,CLIMB,2.46,-4.39,22.35,0.68,7.93,82.02,0.0,0.0
2026-01-20T12:53:06.764810,CLIMB,2.85,-4.59,22.33,0.54,8.4,83.09,0.0,0.0
2026-01-20T12:53:06.865883,CLIMB,3.3,-4.79,22.3,0.36,8.91,84.6,0.0,0.0
2026-01-20T12:53:06.967170,CLIMB,3.71,-4.92,22.3,0.14,9.24,85.72,0.0,0.0
2026-01-20T12:53:07.068114,CLIMB,4.18,-5.05,22.29,-0.06,9.56,86.49,0.0,0.0
2026-01-20T12:53:07.168405,CLIMB,4.63,-5.16,22.28,-0.24,9.85,86.97,0.0,0.0
2026-01-20T12:53:07.270451,CLIMB,5.15,-5.25,22.27,-0.39,10.11,87.23,0.0,0.0
2026-01-20T12:53:07.371365,CLIMB,5.66,-5.32,22.27,-0.5,10.31,87.37,0.0,0.0
2026-01-20T12:53:07.472435,CLIMB,6.26,-5.39,22.28,-0.61,10.47,87.39,0.0,0.0
2026-01-20T12:53:07.573539,CLIMB,6.76,-5.44,22.27,-0.7,10.61,87.39,0.0,0.0
2026-01-20T12:53:07.673802,CLIMB,7.31,-5.49,22.26,-0.75,10.7,87.38,0.0,0.0
2026-01-20T12:53:07.774693,CLIMB,7.81,-5.52,22.28,-0.79,10.79,87.53,0.0,0.0
2026-01-20T12:53:07.875115,CLIMB,8.32,-5.54,22.28,-0.82,10.85,87.65,0.0,0.0
2026-01-20T12:53:07.976259,CLIMB,8.89,-5.56,22.28,-0.86,10.9,87.73,0.0,0.0
2026-01-20T12:53:08.077289,CLIMB,9.42,-5.57,22.28,-0.89,10.94,87.8,0.0,0.0
2026-01-20T12:53:08.178190,CLIMB,9.98,-5.58,22.3,-0.9,10.94,87.94,0.0,0.0
2026-01-20T12:53:08.279324,CLIMB,10.51,-5.58,22.32,-0.9,10.92,88.05,0.0,0.0
2026-01-20T12:53:08.380400,CLIMB,11.08,-5.58,22.33,-0.94,10.91,88.09,0.0,0.0
2026-01-20T12:53:08.481192,CLIMB,11.62,-5.58,22.34,-1.02,10.89,88.08,0.0,0.0
2026-01-20T12:53:08.582702,CLIMB,12.19,-5.56,22.36,-1.06,10.88,88.22,0.0,0.0
2026-01-20T12:53:08.683670,CLIMB,12.77,-5.54,22.38,-1.06,10.85,88.41,0.0,0.0
2026-01-20T12:53:08.784580,CLIMB,13.3,-5.53,22.39,-1.08,10.82,88.53,0.0,0.0
2026-01-20T12:53:08.885263,CLIMB,13.84,-5.52,22.4,-1.13,10.77,88.53,0.0,0.0
2026-01-20T12:53:08.986362,CLIMB,14.41,-5.5,22.42,-1.14,10.7,88.67,0.0,0.0
2026-01-20T12:53:09.086974,CLIMB,14.94,-5.48,22.44,-1.13,10.62,88.84,0.0,0.0
2026-01-20T12:53:09.187642,CLIMB,15.51,-5.47,22.45,-1.13,10.6,88.97,0.0,0.0
2026-01-20T12:53:09.288276,CLIMB,16.09,-5.45,22.47,-1.15,10.54,89.0,0.0,0.0
2026-01-20T12:53:09.389157,CLIMB,16.62,-5.43,22.49,-1.15,10.49,89.12,0.0,0.0
2026-01-20T12:53:09.490325,CLIMB,17.14,-5.41,22.51,-1.13,10.43,89.26,0.0,0.0
2026-01-20T12:53:09.592251,CLIMB,17.71,-5.39,22.52,-1.15,10.37,89.32,0.0,0.0
