time,altitude_m,v_down_m_s
2025-12-20T21:05:35.008620,41.1,-0.03
2025-12-20T21:05:35.059722,41.1,-0.03
2025-12-20T21:05:35.110378,41.1,0.34
2025-12-20T21:05:35.161380,41.08,0.67
2025-12-20T21:05:35.212550,41.03,1.14
2025-12-20T21:05:35.263510,40.98,1.49
2025-12-20T21:05:35.314568,40.88,1.97
2025-12-20T21:05:35.366963,40.78,2.37
2025-12-20T21:05:35.418352,40.64,2.8
2025-12-20T21:05:35.469652,40.48,3.22
2025-12-20T21:05:35.521333,40.35,3.51
2025-12-20T21:05:35.572399,40.12,4.0
2025-12-20T21:05:35.623011,39.96,4.32
2025-12-20T21:05:35.674475,39.73,4.76
2025-12-20T21:05:35.726652,39.5,5.14
2025-12-20T21:05:35.778160,39.21,5.59
2025-12-20T21:05:35.829026,38.9,6.04
2025-12-20T21:05:35.881127,38.67,6.36
2025-12-20T21:05:35.931943,38.27,6.85
2025-12-20T21:05:35.983230,38.0,7.1
2025-12-20T21:05:36.034652,37.61,7.36
2025-12-20T21:05:36.086647,37.27,7.49
2025-12-20T21:05:36.138011,36.88,7.56
2025-12-20T21:05:36.189197,36.47,7.61
2025-12-20T21:05:36.241037,36.17,7.64
2025-12-20T21:05:36.291974,35.71,7.68
2025-12-20T21:05:36.342965,35.41,7.71
2025-12-20T21:05:36.394072,35.0,7.73
2025-12-20T21:05:36.446189,34.64,7.75
2025-12-20T21:05:36.497485,34.21,7.77
2025-12-20T21:05:36.548460,33.78,7.78
2025-12-20T21:05:36.599377,33.48,7.79
2025-12-20T21:05:36.650314,32.99,7.8
2025-12-20T21:05:36.701461,32.68,7.8
2025-12-20T21:05:36.752426,32.25,7.8
2025-12-20T21:05:36.803590,31.88,7.81
2025-12-20T21:05:36.854911,31.45,7.81
2025-12-20T21:05:36.907303,31.14,7.82
2025-12-20T21:05:36.958246,30.71,7.82
2025-12-20T21:05:37.009260,30.22,7.82
2025-12-20T21:05:37.060316,29.91,7.82
2025-12-20T21:05:37.111458,29.47,7.82
2025-12-20T21:05:37.162881,29.16,7.83
2025-12-20T21:05:37.214573,28.66,7.83
2025-12-20T21:05:37.265529,28.35,7.83
2025-12-20T21:05:37.318178,27.92,7.83
2025-12-20T21:05:37.369312,27.42,7.83
2025-12-20T21:05:37.420385,27.11,7.83
2025-12-20T21:05:37.471298,26.67,7.74
2025-12-20T21:05:37.522684,26.37,7.65
2025-12-20T21:05:37.574520,25.89,7.45
2025-12-20T21:05:37.627339,25.59,7.33
2025-12-20T21:05:37.678352,25.19,7.13
2025-12-20T21:05:37.729456,24.74,6.93
2025-12-20T21:05:37.780227,24.46,6.8
2025-12-20T21:05:37.830985,24.09,6.62
2025-12-20T21:05:37.882175,23.82,6.49
2025-12-20T21:05:37.933273,23.41,6.3
2025-12-20T21:05:37.984632,23.16,6.18
2025-12-20T21:05:38.035489,22.76,6.0
2025-12-20T21:05:38.087102,22.57,5.91
2025-12-20T21:05:38.138144,22.19,5.73
2025-12-20T21:05:38.189213,21.87,5.59
2025-12-20T21:05:38.240291,21.64,5.48
2025-12-20T21:05:38.291506,21.29,5.3
2025-12-20T21:05:38.343032,21.08,5.2
2025-12-20T21:05:38.394449,20.78,5.06
2025-12-20T21:05:38.445839,20.54,4.95
2025-12-20T21:05:38.496513,20.25,4.83
2025-12-20T21:05:38.547833,20.06,4.73
2025-12-20T21:05:38.598560,19.75,4.58
2025-12-20T21:05:38.649880,19.49,4.46
2025-12-20T21:05:38.700704,19.31,4.37
2025-12-20T21:05:38.751471,19.02,4.23
2025-12-20T21:05:38.802578,18.89,4.16
2025-12-20T21:05:38.853461,18.62,4.04
2025-12-20T21:05:38.904488,18.45,3.97
2025-12-20T21:05:38.955529,18.19,3.86
2025-12-20T21:05:39.008077,18.03,3.79
2025-12-20T21:05:39.059417,17.81,3.68
2025-12-20T21:05:39.110070,17.61,3.58
2025-12-20T21:05:39.161079,17.43,3.51
2025-12-20T21:05:39.212145,17.23,3.42
2025-12-20T21:05:39.263263,17.09,3.36
2025-12-20T21:05:39.313967,16.9,3.28
2025-12-20T21:05:39.365903,16.74,3.23
2025-12-20T21:05:39.417184,16.55,3.17
2025-12-20T21:05:39.468382,16.42,3.13
2025-12-20T21:05:39.519473,16.21,3.07
2025-12-20T21:05:39.570594,16.03,3.01
2025-12-20T21:05:39.621582,15.91,2.96
2025-12-20T21:05:39.672363,15.72,2.88
2025-12-20T21:05:39.723040,15.62,2.84
2025-12-20T21:05:39.774116,15.43,2.78
2025-12-20T21:05:39.825102,15.32,2.74
2025-12-20T21:05:39.876559,15.16,2.68
2025-12-20T21:05:39.928376,15.04,2.64
2025-12-20T21:05:39.979458,14.87,2.58
2025-12-20T21:05:40.030318,14.72,2.53
2025-12-20T21:05:40.081451,14.61,2.5
2025-12-20T21:05:40.133062,14.45,2.43
2025-12-20T21:05:40.184310,14.35,2.4
2025-12-20T21:05:40.234977,14.21,2.34
2025-12-20T21:05:40.286268,14.11,2.31
2025-12-20T21:05:40.336958,13.96,2.25
2025-12-20T21:05:40.388189,13.87,2.22
2025-12-20T21:05:40.439039,13.72,2.17
2025-12-20T21:05:40.490078,13.59,2.13
2025-12-20T21:05:40.541225,13.51,2.09
2025-12-20T21:05:40.592348,13.39,2.04
2025-12-20T21:05:40.643404,13.3,2.02
2025-12-20T21:05:40.694098,13.17,1.96
2025-12-20T21:05:40.745325,13.08,1.94
2025-12-20T21:05:40.796194,12.97,1.89
2025-12-20T21:05:40.848013,12.89,1.86
2025-12-20T21:05:40.899193,12.77,1.82
2025-12-20T21:05:40.950269,12.65,1.78
2025-12-20T21:05:41.001289,12.57,1.75
2025-12-20T21:05:41.051912,12.47,1.71
2025-12-20T21:05:41.103345,12.4,1.68
2025-12-20T21:05:41.154277,12.3,1.64
2025-12-20T21:05:41.205162,12.23,1.62
2025-12-20T21:05:41.256106,12.12,1.58
2025-12-20T21:05:41.308240,12.05,1.56
2025-12-20T21:05:41.359244,11.96,1.53
2025-12-20T21:05:41.410035,11.86,1.48
2025-12-20T21:05:41.461147,11.8,1.46
2025-12-20T21:05:41.511984,11.71,1.42
2025-12-20T21:05:41.563019,11.65,1.39
2025-12-20T21:05:41.614078,11.56,1.34
