time,altitude,v_down
2025-12-20T21:47:03.098895,44.55,-0.82
2025-12-20T21:47:03.150277,44.6,-0.8
2025-12-20T21:47:03.201814,44.63,-0.63
2025-12-20T21:47:03.252863,44.66,-0.28
2025-12-20T21:47:03.304181,44.66,0.13
2025-12-20T21:47:03.355765,44.65,0.39
2025-12-20T21:47:03.406687,44.61,0.85
2025-12-20T21:47:03.457831,44.58,1.11
2025-12-20T21:47:03.508835,44.5,1.71
2025-12-20T21:47:03.559605,44.42,2.15
2025-12-20T21:47:03.610989,44.28,2.79
2025-12-20T21:47:03.663367,44.15,3.3
2025-12-20T21:47:03.715353,43.96,3.78
2025-12-20T21:47:03.768331,43.75,4.14
2025-12-20T21:47:03.819735,43.58,4.37
2025-12-20T21:47:03.871245,43.31,4.71
2025-12-20T21:47:03.922902,43.13,4.93
2025-12-20T21:47:03.974064,42.86,5.25
2025-12-20T21:47:04.025107,42.65,5.51
2025-12-20T21:47:04.079804,42.3,6.04
2025-12-20T21:47:04.131583,41.97,6.64
2025-12-20T21:47:04.183167,41.65,7.18
2025-12-20T21:47:04.235465,41.24,7.63
2025-12-20T21:47:04.285904,40.83,7.73
2025-12-20T21:47:04.337152,40.53,7.66
2025-12-20T21:47:04.389687,40.07,7.49
2025-12-20T21:47:04.441238,39.78,7.4
2025-12-20T21:47:04.492517,39.38,7.31
2025-12-20T21:47:04.544221,39.1,7.26
2025-12-20T21:47:04.595592,38.65,7.2
2025-12-20T21:47:04.646572,38.26,7.17
2025-12-20T21:47:04.698195,37.98,7.16
2025-12-20T21:47:04.749395,37.53,7.17
2025-12-20T21:47:04.800500,37.24,7.19
2025-12-20T21:47:04.851485,36.78,7.22
2025-12-20T21:47:04.903261,36.56,7.24
2025-12-20T21:47:04.954438,36.09,7.27
2025-12-20T21:47:05.005268,35.8,7.3
2025-12-20T21:47:05.056083,35.4,7.33
2025-12-20T21:47:05.106939,34.93,7.36
2025-12-20T21:47:05.158430,34.64,7.39
2025-12-20T21:47:05.209972,34.23,7.44
2025-12-20T21:47:05.260773,33.87,7.48
2025-12-20T21:47:05.311468,33.45,7.54
2025-12-20T21:47:05.362871,33.15,7.57
