time,altitude_m,v_down_m_s
2025-12-20T21:15:48.720032,41.86,-0.91
2025-12-20T21:15:48.770940,41.92,-0.9
2025-12-20T21:15:48.821964,41.95,-0.64
2025-12-20T21:15:48.873169,41.98,-0.23
2025-12-20T21:15:48.924017,41.98,0.05
2025-12-20T21:15:48.974878,41.97,0.47
2025-12-20T21:15:49.025860,41.94,0.76
2025-12-20T21:15:49.076855,41.88,1.22
2025-12-20T21:15:49.129571,41.83,1.51
2025-12-20T21:15:49.180370,41.75,1.91
2025-12-20T21:15:49.231111,41.62,2.38
2025-12-20T21:15:49.282211,41.52,2.68
2025-12-20T21:15:49.333499,41.37,3.11
2025-12-20T21:15:49.385231,41.22,3.5
2025-12-20T21:15:49.436140,41.02,3.97
2025-12-20T21:15:49.487387,40.86,4.32
2025-12-20T21:15:49.538175,40.62,4.82
2025-12-20T21:15:49.589276,40.43,5.18
2025-12-20T21:15:49.640163,40.1,5.75
2025-12-20T21:15:49.691212,39.77,6.23
2025-12-20T21:15:49.742120,39.53,6.57
2025-12-20T21:15:49.793183,39.12,7.08
2025-12-20T21:15:49.844182,38.84,7.36
2025-12-20T21:15:49.895193,38.43,7.74
2025-12-20T21:15:49.946507,38.13,7.96
2025-12-20T21:15:49.997819,37.64,8.16
2025-12-20T21:15:50.049781,37.32,8.18
2025-12-20T21:15:50.101484,36.88,8.13
2025-12-20T21:15:50.153163,36.39,8.03
2025-12-20T21:15:50.205431,36.08,7.96
2025-12-20T21:15:50.256125,35.65,7.88
2025-12-20T21:15:50.307063,35.35,7.83
2025-12-20T21:15:50.358205,34.86,7.78
2025-12-20T21:15:50.410599,34.55,7.77
2025-12-20T21:15:50.461693,34.06,7.78
2025-12-20T21:15:50.512262,33.63,7.8
2025-12-20T21:15:50.563099,33.32,7.81
2025-12-20T21:15:50.614089,32.89,7.82
2025-12-20T21:15:50.665720,32.58,7.82
2025-12-20T21:15:50.716839,32.08,7.83
2025-12-20T21:15:50.767564,31.77,7.83
2025-12-20T21:15:50.818734,31.34,7.84
2025-12-20T21:15:50.870600,31.03,7.84
2025-12-20T21:15:50.921540,30.53,7.85
2025-12-20T21:15:50.972177,30.1,7.86
2025-12-20T21:15:51.023327,29.78,7.86
2025-12-20T21:15:51.073887,29.28,7.87
2025-12-20T21:15:51.125074,28.97,7.88
2025-12-20T21:15:51.176051,28.54,7.88
2025-12-20T21:15:51.226884,28.16,7.89
2025-12-20T21:15:51.278025,27.72,7.89
2025-12-20T21:15:51.330177,27.41,7.89
2025-12-20T21:15:51.381177,26.97,7.89
2025-12-20T21:15:51.432236,26.47,7.9
2025-12-20T21:15:51.483150,26.15,7.9
2025-12-20T21:15:51.534258,25.71,7.91
2025-12-20T21:15:51.585150,25.4,7.9
2025-12-20T21:15:51.636412,24.89,7.91
2025-12-20T21:15:51.687704,24.58,7.91
2025-12-20T21:15:51.738551,24.13,7.91
2025-12-20T21:15:51.790597,23.82,7.91
2025-12-20T21:15:51.841559,23.31,7.91
2025-12-20T21:15:51.892549,22.87,7.91
2025-12-20T21:15:51.943794,22.56,7.91
2025-12-20T21:15:51.994742,22.05,7.91
2025-12-20T21:15:52.045689,21.74,7.91
2025-12-20T21:15:52.096467,21.3,7.91
2025-12-20T21:15:52.147682,20.98,7.91
2025-12-20T21:15:52.198617,20.48,7.92
2025-12-20T21:15:52.250990,20.16,7.92
2025-12-20T21:15:52.302026,19.72,7.92
2025-12-20T21:15:52.352881,19.21,7.92
2025-12-20T21:15:52.404069,18.89,7.92
2025-12-20T21:15:52.455552,18.45,7.92
2025-12-20T21:15:52.506344,18.07,7.92
2025-12-20T21:15:52.557114,17.63,7.92
2025-12-20T21:15:52.608108,17.31,7.93
2025-12-20T21:15:52.659273,16.87,7.93
2025-12-20T21:15:52.711450,16.49,7.93
2025-12-20T21:15:52.763142,16.04,7.93
2025-12-20T21:15:52.814339,15.6,7.93
2025-12-20T21:15:52.866676,15.22,7.92
2025-12-20T21:15:52.917754,14.77,7.92
2025-12-20T21:15:52.968889,14.45,7.92
2025-12-20T21:15:53.019770,14.01,7.92
2025-12-20T21:15:53.071621,13.63,7.92
2025-12-20T21:15:53.122585,13.18,7.92
2025-12-20T21:15:53.173486,12.74,7.92
2025-12-20T21:15:53.224506,12.42,7.92
2025-12-20T21:15:53.275252,11.91,7.92
2025-12-20T21:15:53.326295,11.59,7.92
2025-12-20T21:15:53.377106,11.14,7.92
2025-12-20T21:15:53.428317,10.83,7.92
2025-12-20T21:15:53.479105,10.32,7.92
2025-12-20T21:15:53.531527,10.0,7.92
2025-12-20T21:15:53.583031,9.55,7.92
2025-12-20T21:15:53.634124,9.04,7.91
2025-12-20T21:15:53.686069,8.72,7.91
2025-12-20T21:15:53.736928,8.28,7.91
2025-12-20T21:15:53.788395,7.96,7.91
2025-12-20T21:15:53.839413,7.45,7.91
2025-12-20T21:15:53.891247,7.13,7.91
2025-12-20T21:15:53.942267,6.68,7.91
2025-12-20T21:15:53.993197,6.17,7.91
2025-12-20T21:15:54.044099,5.86,7.9
2025-12-20T21:15:54.095288,5.41,7.9
2025-12-20T21:15:54.146633,5.09,7.9
2025-12-20T21:15:54.197894,4.59,7.89
2025-12-20T21:15:54.249594,4.27,7.89
2025-12-20T21:15:54.300658,3.76,7.9
