timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-09T19:41:23.374720,ASCENT,9.11,-0.86,0.01,-0.11,0.4,88.95,0.0,0.0
2026-01-09T19:41:23.425094,ASCENT,9.15,-0.84,0.01,-0.11,0.38,88.95,0.0,0.0
2026-01-09T19:41:23.475366,ASCENT,9.2,-0.84,0.01,-0.1,0.34,88.94,0.0,0.0
2026-01-09T19:41:23.525835,ASCENT,9.25,-1.47,0.01,-0.03,0.75,88.47,0.0,0.0
2026-01-09T19:41:23.576326,ASCENT,9.38,-2.51,0.04,0.05,2.05,85.28,0.0,0.0
2026-01-09T19:41:23.627188,ASCENT,9.47,-2.98,0.06,-0.1,2.31,81.94,0.0,0.0
2026-01-09T19:41:23.678233,ASCENT,9.69,-3.9,0.12,0.1,1.94,75.7,0.0,0.0
2026-01-09T19:41:23.728926,ASCENT,9.85,-4.4,0.14,0.3,1.5,70.94,0.0,0.0
2026-01-09T19:41:23.779847,ASCENT,10.1,-4.9,0.15,0.81,0.7,62.01,0.0,0.0
2026-01-09T19:41:23.830257,ASCENT,10.3,-5.23,0.14,1.57,0.02,51.89,0.0,0.0
2026-01-09T19:41:23.880452,ASCENT,10.64,-5.66,0.1,2.09,-1.11,44.14,0.0,0.0
2026-01-09T19:41:23.931558,ASCENT,10.86,-5.78,0.07,2.31,-2.36,36.25,0.0,0.0
2026-01-09T19:41:23.982177,ASCENT,11.16,-5.86,0.03,2.02,-2.77,32.02,0.0,0.0
2026-01-09T19:41:24.032334,ASCENT,11.52,-5.89,0.06,1.15,-2.68,28.73,0.0,0.0
2026-01-09T19:41:24.083226,ASCENT,11.75,-5.91,0.08,0.01,-2.04,26.49,0.0,0.0
2026-01-09T19:41:24.133697,ASCENT,11.97,-5.92,0.09,-1.04,-1.05,24.6,0.0,0.0
2026-01-09T19:41:24.184726,ASCENT,12.29,-5.95,0.09,-1.78,0.09,22.49,0.0,0.0
2026-01-09T19:41:24.235097,ASCENT,12.66,-5.97,0.07,-2.09,1.12,19.87,0.0,0.0
2026-01-09T19:41:24.286087,ASCENT,12.89,-5.98,0.06,-1.84,1.74,17.29,0.0,0.0
2026-01-09T19:41:24.336684,ASCENT,13.21,-5.99,0.04,-1.07,1.98,14.58,0.0,0.0
2026-01-09T19:41:24.387355,ASCENT,13.45,-5.99,0.03,-0.13,1.81,12.39,0.0,0.0
2026-01-09T19:41:24.437788,ASCENT,13.82,-6.0,0.02,0.91,1.27,10.5,0.0,0.0
2026-01-09T19:41:24.488883,ASCENT,14.06,-6.0,0.01,1.59,0.56,9.21,0.0,0.0
