timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg
2026-01-20T18:09:18.641319,MC_CLIMB,0.0,-0.01,0.08,0.16,-0.16,89.34
2026-01-20T18:09:18.742619,MC_CLIMB,0.0,0.0,0.09,0.15,-0.16,89.33
2026-01-20T18:09:18.843731,MC_CLIMB,0.0,0.0,0.09,0.16,-0.16,89.31
2026-01-20T18:09:18.944604,MC_CLIMB,-0.0,0.0,0.09,0.16,-0.17,89.29
2026-01-20T18:09:19.045653,MC_CLIMB,-0.0,0.0,0.09,0.12,-0.18,89.26
2026-01-20T18:09:19.146566,MC_CLIMB,-0.0,0.0,0.1,0.08,-0.17,89.25
2026-01-20T18:09:19.247454,MC_CLIMB,-0.0,0.0,0.1,0.08,-0.17,89.28
2026-01-20T18:09:19.348268,MC_CLIMB,-0.0,0.0,0.1,0.07,-0.18,89.31
2026-01-20T18:09:19.448956,MC_CLIMB,-0.01,0.0,0.09,0.06,-0.13,89.3
2026-01-20T18:09:19.550048,MC_CLIMB,-0.01,0.0,0.09,0.05,-0.16,89.32
2026-01-20T18:09:19.650823,MC_CLIMB,-0.01,0.0,0.09,0.04,-0.14,89.32
2026-01-20T18:09:19.751906,MC_CLIMB,-0.01,0.0,0.08,0.03,-0.12,89.3
2026-01-20T18:09:19.852896,MC_CLIMB,-0.01,0.0,0.08,0.01,-0.12,89.29
2026-01-20T18:09:19.954521,MC_CLIMB,-0.0,0.0,0.08,0.01,-0.1,89.27
2026-01-20T18:09:20.055571,MC_CLIMB,-0.0,0.0,0.08,-0.01,-0.08,89.28
2026-01-20T18:09:20.156661,MC_CLIMB,-0.01,0.01,0.08,-0.01,-0.08,89.25
2026-01-20T18:09:20.258174,MC_CLIMB,-0.01,0.0,0.08,-0.03,-0.11,89.24
2026-01-20T18:09:20.359750,MC_CLIMB,0.0,-0.16,0.11,-0.34,-1.07,88.62
2026-01-20T18:09:20.460785,MC_CLIMB,0.04,-0.57,0.15,-1.21,-1.67,85.59
2026-01-20T18:09:20.561340,MC_CLIMB,0.11,-0.98,0.18,-1.97,-1.24,79.81
2026-01-20T18:09:20.661938,MC_CLIMB,0.22,-1.2,0.2,-2.45,0.27,71.22
2026-01-20T18:09:20.762561,MC_CLIMB,0.34,-1.34,0.18,-2.47,1.84,59.98
