timestamp,phase,altitude_m,vn_m_s,ve_m_s,vd_m_s,climb_rate_m_s,climb_rate_avg_m_s,dist_to_target_m,hit_flag,abort_reason
2026-02-11T17:22:52.390237,TAKEOFF,0.0,-0.03,-0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:52.491561,TAKEOFF,0.0,-0.03,-0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:52.592426,TAKEOFF,0.0,-0.03,-0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:52.693669,TAKEOFF,0.0,-0.04,-0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:52.794652,TAKEOFF,0.0,-0.04,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:52.895691,TAKEOFF,0.0,-0.03,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:52.996977,TAKEOFF,0.0,-0.03,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:53.097870,TAKEOFF,0.001,-0.04,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:53.198752,TAKEOFF,0.001,-0.04,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:53.299373,TAKEOFF,0.001,-0.04,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:53.401527,TAKEOFF,0.002,-0.03,0.0,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:53.502539,TAKEOFF,0.003,-0.03,0.0,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:53.602876,TAKEOFF,0.0,-0.03,0.0,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:53.703555,TAKEOFF,0.0,-0.03,0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:53.803809,TAKEOFF,0.0,-0.03,0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:53.904339,TAKEOFF,0.001,-0.03,0.01,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:54.005150,TAKEOFF,0.002,-0.03,0.01,-0.01,0.0,0.0,0.0,0,
2026-02-11T17:22:54.105849,TAKEOFF,0.001,-0.03,0.01,-0.02,0.0,0.0,0.0,0,
2026-02-11T17:22:54.206535,TAKEOFF,0.002,-0.02,0.01,-0.04,0.0,0.0,0.0,0,
2026-02-11T17:22:54.307328,TAKEOFF,0.016,-0.02,0.01,-0.28,0.0,0.0,0.0,0,
2026-02-11T17:22:54.408329,TAKEOFF,0.058,0.0,0.01,-0.61,0.0,0.0,0.0,0,
2026-02-11T17:22:54.509216,TAKEOFF,0.137,0.01,0.01,-1.03,0.0,0.0,0.0,0,
2026-02-11T17:22:54.609626,TAKEOFF,0.252,0.02,0.0,-1.43,0.0,0.0,0.0,0,
2026-02-11T17:22:54.710707,TAKEOFF,0.419,0.03,0.0,-1.84,0.0,0.0,0.0,0,
2026-02-11T17:22:54.811167,TAKEOFF,0.61,0.04,0.0,-2.18,0.0,0.0,0.0,0,
2026-02-11T17:22:54.912260,TAKEOFF,0.84,0.03,0.0,-2.51,0.0,0.0,0.0,0,
2026-02-11T17:22:55.013211,TAKEOFF,1.083,0.03,0.0,-2.78,0.0,0.0,0.0,0,
2026-02-11T17:22:55.114299,TAKEOFF,1.377,0.02,0.0,-3.03,0.0,0.0,0.0,0,
2026-02-11T17:22:55.215526,TAKEOFF,1.672,0.01,-0.01,-3.22,0.0,0.0,0.0,0,
2026-02-11T17:22:55.316373,TAKEOFF,2.0,0.0,-0.01,-3.38,0.0,0.0,0.0,0,
2026-02-11T17:22:55.417479,TAKEOFF,2.319,0.0,-0.01,-3.5,0.0,0.0,0.0,0,
2026-02-11T17:22:55.518240,TAKEOFF,2.68,-0.01,-0.01,-3.6,0.0,0.0,0.0,0,
2026-02-11T17:22:55.618777,TAKEOFF,3.023,-0.01,-0.01,-3.65,0.0,0.0,0.0,0,
2026-02-11T17:22:55.719682,TAKEOFF,3.389,-0.01,-0.01,-3.66,0.0,0.0,0.0,0,
2026-02-11T17:22:55.821638,TAKEOFF,3.731,-0.02,-0.01,-3.64,0.0,0.0,0.0,0,
2026-02-11T17:22:55.922031,TAKEOFF,4.1,-0.02,-0.01,-3.58,0.0,0.0,0.0,0,
2026-02-11T17:22:56.022893,TAKEOFF,4.436,-0.01,0.0,-3.49,0.0,0.0,0.0,0,
2026-02-11T17:22:56.123573,TAKEOFF,4.785,-0.01,0.0,-3.35,0.0,0.0,0.0,0,
2026-02-11T17:22:56.224300,TAKEOFF,5.094,-0.01,0.0,-3.19,0.0,0.0,0.0,0,
2026-02-11T17:22:56.324752,TAKEOFF,5.459,0.0,0.0,-2.94,0.0,0.0,0.0,0,
2026-02-11T17:22:56.425510,TAKEOFF,5.75,0.0,0.0,-2.69,0.0,0.0,0.0,0,
2026-02-11T17:22:56.526507,TAKEOFF,6.004,0.0,0.01,-2.22,0.0,0.0,0.0,0,
2026-02-11T17:22:56.626747,TAKEOFF,6.202,0.0,0.01,-1.93,0.0,0.0,0.0,0,
2026-02-11T17:22:56.727220,TAKEOFF,6.392,0.0,0.02,-1.74,0.0,0.0,0.0,0,
2026-02-11T17:22:56.827942,TAKEOFF,6.556,0.0,0.02,-1.63,0.0,0.0,0.0,0,
2026-02-11T17:22:56.928655,TAKEOFF,6.712,0.0,0.02,-1.55,0.0,0.0,0.0,0,
2026-02-11T17:22:57.029637,TAKEOFF,6.873,0.0,0.02,-1.47,0.0,0.0,0.0,0,
2026-02-11T17:22:57.130439,TAKEOFF,7.015,0.0,0.02,-1.41,0.0,0.0,0.0,0,
2026-02-11T17:22:57.231002,TAKEOFF,7.163,0.01,0.02,-1.36,0.0,0.0,0.0,0,
2026-02-11T17:22:57.331951,TAKEOFF,7.294,0.01,0.02,-1.31,0.0,0.0,0.0,0,
2026-02-11T17:22:57.432784,TAKEOFF,7.431,0.01,0.01,-1.25,0.0,0.0,0.0,0,
2026-02-11T17:22:57.533251,TAKEOFF,7.562,0.01,0.01,-1.2,0.0,0.0,0.0,0,
2026-02-11T17:22:57.634072,TAKEOFF,7.678,0.01,0.01,-1.16,0.0,0.0,0.0,0,
2026-02-11T17:22:57.734758,TAKEOFF,7.788,0.01,0.01,-1.11,0.0,0.0,0.0,0,
2026-02-11T17:22:57.835369,TAKEOFF,7.903,0.01,0.01,-1.07,0.0,0.0,0.0,0,
2026-02-11T17:22:57.936087,TAKEOFF,8.006,0.01,0.0,-1.03,0.0,0.0,0.0,0,
