timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m
2026-01-20T13:47:22.675836,CLIMB,0.0,0.02,0.03,-0.03,-0.14,88.37,0.0,0.0
2026-01-20T13:47:22.776826,CLIMB,0.0,0.02,0.03,-0.05,-0.13,88.36,0.0,0.0
2026-01-20T13:47:22.877726,CLIMB,-0.0,0.02,0.03,-0.04,-0.14,88.4,0.0,0.0
2026-01-20T13:47:22.978905,CLIMB,0.0,0.02,0.02,-0.02,-0.13,88.4,0.0,0.0
2026-01-20T13:47:23.079671,CLIMB,0.0,0.01,0.02,-0.02,-0.16,88.41,0.0,0.0
2026-01-20T13:47:23.179782,CLIMB,0.0,0.01,0.02,-0.01,-0.19,88.43,0.0,0.0
2026-01-20T13:47:23.279880,CLIMB,0.0,0.01,0.02,-0.04,-0.18,88.44,0.0,0.0
2026-01-20T13:47:23.380363,CLIMB,0.0,0.01,0.02,-0.04,-0.2,88.46,0.0,0.0
2026-01-20T13:47:23.480725,CLIMB,0.0,0.01,0.02,-0.04,-0.2,88.48,0.0,0.0
2026-01-20T13:47:23.581899,CLIMB,0.0,0.01,0.01,-0.04,-0.21,88.51,0.0,0.0
2026-01-20T13:47:23.682685,CLIMB,0.0,0.01,0.23,-0.04,-0.22,88.49,0.0,0.0
2026-01-20T13:47:23.783860,CLIMB,0.0,0.01,0.76,-0.03,-0.25,88.49,0.0,0.0
2026-01-20T13:47:23.884879,CLIMB,0.0,0.01,1.53,-0.03,-0.25,88.48,0.0,0.0
2026-01-20T13:47:23.985748,CLIMB,0.0,0.01,2.71,-0.04,-0.27,88.46,0.0,0.0
2026-01-20T13:47:24.086737,CLIMB,-0.0,0.02,4.14,-0.04,-0.28,88.54,0.0,0.0
2026-01-20T13:47:24.187714,CLIMB,0.0,-0.01,5.88,-0.05,-0.65,89.79,0.0,0.0
2026-01-20T13:47:24.288718,CLIMB,0.01,-0.02,7.96,-0.04,-1.85,92.68,0.0,0.0
2026-01-20T13:47:24.389851,CLIMB,0.01,0.0,9.91,-0.05,-2.37,95.59,0.0,0.0
2026-01-20T13:47:24.491043,CLIMB,0.01,-0.01,12.03,-0.02,-2.61,97.32,0.0,0.0
2026-01-20T13:47:24.591709,CLIMB,0.02,-0.01,13.85,0.05,-2.74,97.11,0.0,0.0
2026-01-20T13:47:24.692762,CLIMB,0.02,-0.02,15.62,0.07,-2.84,96.13,0.0,0.0
2026-01-20T13:47:24.793777,CLIMB,0.03,-0.04,17.14,0.1,-2.99,94.91,0.0,0.0
2026-01-20T13:47:24.894740,CLIMB,0.03,-0.02,18.3,0.11,-3.0,93.96,0.0,0.0
2026-01-20T13:47:24.995739,CLIMB,0.05,-0.07,19.28,0.13,-2.89,93.55,0.0,0.0
2026-01-20T13:47:25.096868,CLIMB,0.08,-0.11,20.15,0.14,-2.6,92.7,0.0,0.0
2026-01-20T13:47:25.197079,CLIMB,0.11,-0.28,21.04,0.12,-2.24,91.77,0.0,0.0
2026-01-20T13:47:25.297856,CLIMB,0.16,-0.52,21.56,0.22,-1.57,91.11,0.0,0.0
2026-01-20T13:47:25.398894,CLIMB,0.24,-0.9,21.94,0.35,-0.68,90.72,0.0,0.0
2026-01-20T13:47:25.499958,CLIMB,0.36,-1.33,22.18,0.32,0.43,90.56,0.0,0.0
2026-01-20T13:47:25.600713,CLIMB,0.53,-1.85,22.33,0.38,1.77,90.55,0.0,0.0
2026-01-20T13:47:25.700863,CLIMB,0.73,-2.35,22.4,0.47,3.02,90.61,0.0,0.0
2026-01-20T13:47:25.801818,CLIMB,0.97,-2.89,22.44,0.45,4.25,90.68,0.0,0.0
2026-01-20T13:47:25.902924,CLIMB,1.24,-3.35,22.43,0.35,5.36,90.64,0.0,0.0
2026-01-20T13:47:26.003146,CLIMB,1.59,-3.75,22.41,0.19,6.3,90.56,0.0,0.0
2026-01-20T13:47:26.103392,CLIMB,1.94,-4.06,22.39,0.01,7.06,90.49,0.0,0.0
2026-01-20T13:47:26.203696,CLIMB,2.32,-4.32,22.39,-0.16,7.65,90.45,0.0,0.0
2026-01-20T13:47:26.304685,CLIMB,2.7,-4.53,22.38,-0.36,8.17,82.83,0.0,0.0
2026-01-20T13:47:26.405572,CLIMB,3.15,-4.73,22.35,-0.51,8.63,84.1,0.0,0.0
