timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,total_speed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m,dive_distance_m,dive_time_s
2026-01-20T15:35:46.750124,CLIMB,18.39,0.0,15.49,15.49,16.52,-3.03,40.48,0.0,0.0,0.0,0.0
2026-01-20T15:35:46.850531,CLIMB,18.39,0.0,15.49,15.49,16.69,-3.01,41.62,0.0,0.0,0.0,0.0
2026-01-20T15:35:46.951270,CLIMB,18.39,-0.03,15.49,15.49,17.19,-2.94,43.11,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.051793,CLIMB,18.39,-0.12,15.5,15.5,17.67,-2.68,44.78,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.152574,CLIMB,18.4,-0.24,15.5,15.5,18.09,-2.23,46.28,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.253815,CLIMB,18.44,-0.42,15.5,15.51,18.5,-1.59,47.75,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.354616,CLIMB,18.48,-0.58,15.51,15.52,18.88,-0.89,49.15,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.456207,CLIMB,18.54,-0.73,15.51,15.53,19.22,-0.36,50.4,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.556730,CLIMB,18.62,-0.85,15.51,15.53,19.55,0.08,51.79,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.657990,CLIMB,18.71,-0.96,15.5,15.53,19.93,0.44,53.21,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.758298,CLIMB,18.82,-1.06,15.5,15.54,20.39,0.78,54.92,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.858422,CLIMB,18.92,-1.13,15.5,15.54,20.77,1.0,56.46,0.0,0.0,0.0,0.0
2026-01-20T15:35:47.959510,CLIMB,19.04,-1.2,15.5,15.54,21.24,1.25,58.05,0.0,0.0,0.0,0.0
2026-01-20T15:35:48.060274,CLIMB,19.16,-1.26,15.47,15.53,21.67,1.48,59.64,0.0,0.0,0.0,0.0
2026-01-20T15:35:48.160969,CLIMB,19.29,-1.32,15.47,15.52,22.1,1.66,61.25,0.0,0.0,0.0,0.0
2026-01-20T15:35:48.261194,CLIMB,19.41,-1.38,15.46,15.53,22.55,1.85,62.87,0.0,0.0,0.0,0.0
2026-01-20T15:35:48.362406,CLIMB,19.55,-1.43,15.46,15.52,23.02,2.03,64.56,0.0,0.0,0.0,0.0
2026-01-20T15:35:48.463632,CLIMB,19.69,-1.47,15.44,15.51,23.46,2.19,66.19,0.0,0.0,0.0,0.0
