timestamp,phase,altitude_m,vertical_speed_m_s,airspeed_m_s,total_speed_m_s,roll_deg,pitch_deg,yaw_deg,loiter_time_s,target_distance_m
2026-01-20T15:21:52.385415,CLIMB,0.0,-0.01,0.06,0.06,0.13,-0.14,92.05,0.0,0.0
2026-01-20T15:21:52.486469,CLIMB,0.0,-0.01,0.06,0.06,0.13,-0.15,92.05,0.0,0.0
2026-01-20T15:21:52.586707,CLIMB,0.0,0.0,0.06,0.06,0.14,-0.13,92.04,0.0,0.0
2026-01-20T15:21:52.687538,CLIMB,0.0,-0.01,0.06,0.06,0.16,-0.14,92.03,0.0,0.0
2026-01-20T15:21:52.788160,CLIMB,0.0,-0.01,0.06,0.06,0.16,-0.17,92.04,0.0,0.0
2026-01-20T15:21:52.888689,CLIMB,0.0,-0.01,0.07,0.07,0.15,-0.16,92.04,0.0,0.0
2026-01-20T15:21:52.988904,CLIMB,0.0,-0.01,0.06,0.06,0.15,-0.14,92.02,0.0,0.0
2026-01-20T15:21:53.089763,CLIMB,0.0,-0.01,0.07,0.07,0.17,-0.16,92.02,0.0,0.0
2026-01-20T15:21:53.190868,CLIMB,0.0,-0.01,0.06,0.06,0.17,-0.14,92.02,0.0,0.0
2026-01-20T15:21:53.292015,CLIMB,0.0,-0.01,0.06,0.06,0.18,-0.12,92.03,0.0,0.0
2026-01-20T15:21:53.392288,CLIMB,0.0,-0.01,0.24,0.24,0.2,-0.13,92.0,0.0,0.0
2026-01-20T15:21:53.493236,CLIMB,0.0,-0.01,0.77,0.77,0.16,-0.12,91.98,0.0,0.0
2026-01-20T15:21:53.594279,CLIMB,0.0,-0.01,1.54,1.54,0.17,-0.11,91.97,0.0,0.0
2026-01-20T15:21:53.695255,CLIMB,0.0,-0.01,2.71,2.71,0.15,-0.12,91.96,0.0,0.0
2026-01-20T15:21:53.796092,CLIMB,0.0,-0.01,4.12,4.12,0.13,-0.07,91.82,0.0,0.0
2026-01-20T15:21:53.897307,CLIMB,0.0,-0.06,6.03,6.03,0.12,-0.61,92.68,0.0,0.0
2026-01-20T15:21:53.997927,CLIMB,0.01,-0.06,7.94,7.94,0.13,-1.87,94.72,0.0,0.0
2026-01-20T15:21:54.098016,CLIMB,0.02,-0.05,10.03,10.03,0.15,-2.4,96.41,0.0,0.0
2026-01-20T15:21:54.198173,CLIMB,0.02,-0.05,11.9,11.9,0.15,-2.66,96.54,0.0,0.0
2026-01-20T15:21:54.298454,CLIMB,0.03,-0.06,13.78,13.78,0.15,-2.77,95.97,0.0,0.0
2026-01-20T15:21:54.399572,CLIMB,0.03,-0.06,15.45,15.45,0.15,-2.83,95.29,0.0,0.0
2026-01-20T15:21:54.500639,CLIMB,0.04,-0.09,17.16,17.16,0.15,-3.03,94.51,0.0,0.0
2026-01-20T15:21:54.600955,CLIMB,0.05,-0.08,18.14,18.14,0.17,-2.92,93.53,0.0,0.0
2026-01-20T15:21:54.701281,CLIMB,0.07,-0.13,19.07,19.07,0.16,-2.79,92.45,0.0,0.0
2026-01-20T15:21:54.802482,CLIMB,0.1,-0.14,19.89,19.89,0.16,-2.56,91.85,0.0,0.0
2026-01-20T15:21:54.903051,CLIMB,0.13,-0.28,20.85,20.85,0.2,-2.23,91.13,0.0,0.0
2026-01-20T15:21:55.003217,CLIMB,0.17,-0.54,21.42,21.43,0.19,-1.61,90.61,0.0,0.0
2026-01-20T15:21:55.103414,CLIMB,0.25,-0.88,21.8,21.82,0.2,-0.71,90.32,0.0,0.0
