timestamp,phase,altitude_m,vertical_speed_m_s,horizontal_speed_m_s,roll_deg,pitch_deg,yaw_deg,hover_time_s,target_distance_m
2026-01-10T17:01:54.138749,ASCENT,9.23,-2.58,0.02,-0.05,-0.06,11.88,0.0,0.0
2026-01-10T17:01:54.189493,ASCENT,9.39,-2.65,0.02,-0.1,-0.07,11.88,0.0,0.0
2026-01-10T17:01:54.240379,ASCENT,9.5,-2.69,0.02,-0.12,-0.01,11.88,0.0,0.0
2026-01-10T17:01:54.291331,ASCENT,9.65,-3.44,0.03,-0.16,0.61,11.81,0.0,0.0
2026-01-10T17:01:54.342101,ASCENT,9.91,-4.61,0.06,-0.2,1.55,11.24,0.0,0.0
2026-01-10T17:01:54.393214,ASCENT,10.1,-5.21,0.09,-0.31,1.6,9.69,0.0,0.0
2026-01-10T17:01:54.444283,ASCENT,10.4,-5.75,0.1,0.17,0.33,7.73,0.0,0.0
2026-01-10T17:01:54.495367,ASCENT,10.63,-5.96,0.09,0.8,-1.67,5.54,0.0,0.0
2026-01-10T17:01:54.546073,ASCENT,11.0,-6.12,0.04,1.29,-2.66,4.33,0.0,0.0
2026-01-10T17:01:54.597158,ASCENT,11.24,-6.16,0.01,1.37,-2.85,3.82,0.0,0.0
2026-01-10T17:01:54.648256,ASCENT,11.58,-6.19,0.03,1.05,-2.27,3.7,0.0,0.0
2026-01-10T17:01:54.698535,ASCENT,11.82,-6.21,0.05,0.51,-1.22,3.73,0.0,0.0
2026-01-10T17:01:54.749579,ASCENT,12.22,-6.23,0.07,-0.14,0.07,3.64,0.0,0.0
2026-01-10T17:01:54.800668,ASCENT,12.46,-6.24,0.06,-0.61,1.04,3.37,0.0,0.0
2026-01-10T17:01:54.851501,ASCENT,12.81,-6.25,0.04,-0.85,1.69,2.83,0.0,0.0
2026-01-10T17:01:54.902307,ASCENT,13.2,-6.26,0.0,-0.8,1.72,2.29,0.0,0.0
2026-01-10T17:01:54.952494,ASCENT,13.44,-6.26,0.01,-0.48,1.25,1.75,0.0,0.0
2026-01-10T17:01:55.003418,ASCENT,13.79,-6.27,0.03,-0.05,0.61,1.39,0.0,0.0
2026-01-10T17:01:55.054258,ASCENT,14.03,-6.28,0.04,0.53,-0.3,1.07,0.0,0.0
2026-01-10T17:01:55.104631,ASCENT,14.43,-6.29,0.02,0.82,-0.84,0.96,0.0,0.0
2026-01-10T17:01:55.155420,ASCENT,14.68,-6.3,0.0,0.97,-1.19,0.88,0.0,0.0
2026-01-10T17:01:55.206225,ASCENT,15.02,-6.31,0.0,0.85,-1.1,0.86,0.0,0.0
2026-01-10T17:01:55.257440,ASCENT,15.27,-6.31,0.01,0.59,-0.79,0.84,0.0,0.0
2026-01-10T17:01:55.308221,ASCENT,15.67,-6.33,0.03,0.19,-0.23,0.75,0.0,0.0
2026-01-10T17:01:55.359351,ASCENT,15.92,-6.33,0.04,-0.17,0.25,0.59,0.0,0.0
2026-01-10T17:01:55.410437,ASCENT,16.32,-6.34,0.02,-0.52,0.65,0.4,0.0,0.0
2026-01-10T17:01:55.460594,ASCENT,16.57,-6.35,0.01,-0.59,0.79,0.26,0.0,0.0
2026-01-10T17:01:55.511586,ASCENT,16.92,-6.35,0.0,-0.48,0.75,0.14,0.0,0.0
2026-01-10T17:01:55.562250,ASCENT,17.27,-6.36,0.0,-0.27,0.57,0.06,0.0,0.0
2026-01-10T17:01:55.613364,ASCENT,17.57,-6.36,0.01,0.02,0.21,0.01,0.0,0.0
2026-01-10T17:01:55.664518,ASCENT,17.92,-6.37,0.01,0.32,-0.17,-0.02,0.0,0.0
2026-01-10T17:01:55.715356,ASCENT,18.17,-6.37,0.01,0.54,-0.49,-0.01,0.0,0.0
2026-01-10T17:01:55.766246,ASCENT,18.53,-6.38,0.0,0.58,-0.62,0.01,0.0,0.0
2026-01-10T17:01:55.817320,ASCENT,18.78,-6.38,0.01,0.44,-0.53,0.01,0.0,0.0
2026-01-10T17:01:55.868284,ASCENT,19.18,-6.38,0.01,0.17,-0.35,-0.02,0.0,0.0
2026-01-10T17:01:55.919422,ASCENT,19.44,-6.39,0.01,-0.09,-0.1,-0.05,0.0,0.0
2026-01-10T17:01:55.970341,ASCENT,19.79,-6.39,0.02,-0.3,0.18,-0.09,0.0,0.0
2026-01-10T17:01:56.021353,ASCENT,20.04,-6.39,0.01,-0.38,0.39,-0.13,0.0,0.0
2026-01-10T17:01:56.072519,ASCENT,20.45,-6.39,0.0,-0.35,0.52,-0.18,0.0,0.0
2026-01-10T17:01:56.123539,ASCENT,20.81,-6.4,0.0,-0.22,0.5,-0.2,0.0,0.0
2026-01-10T17:01:56.174498,ASCENT,21.07,-6.4,0.0,0.0,0.33,-0.22,0.0,0.0
2026-01-10T17:01:56.224775,ASCENT,21.48,-6.41,0.01,0.16,0.1,-0.23,0.0,0.0
2026-01-10T17:01:56.275145,ASCENT,21.73,-6.41,0.0,0.36,-0.21,-0.22,0.0,0.0
2026-01-10T17:01:56.325582,ASCENT,22.14,-6.41,0.0,0.45,-0.34,-0.22,0.0,0.0
2026-01-10T17:01:56.376468,ASCENT,22.35,-6.41,0.0,0.44,-0.37,-0.19,0.0,0.0
2026-01-10T17:01:56.427253,ASCENT,22.76,-6.41,0.0,0.36,-0.26,-0.18,0.0,0.0
2026-01-10T17:01:56.478182,ASCENT,23.01,-6.41,0.01,0.21,-0.12,-0.19,0.0,0.0
2026-01-10T17:01:56.528398,ASCENT,23.37,-6.42,0.01,0.02,0.05,-0.2,0.0,0.0
2026-01-10T17:01:56.579086,ASCENT,23.63,-6.42,0.01,-0.16,0.2,-0.21,0.0,0.0
